,topic,file,text
0,Emotion,DancePoemsDanceWithMePoembyDavidHarris,"Dance with me
Through the rest of my years
Through the happiness
And the sorrows that bring tears
Dance with me
Consent to be my wife
And we’ll dance together
For the rest of our lives
9 May 2007"
1,Emotion,DancePoemsTheDancePoembyMelvinaGermain,"Andre fell in love with her beauty,
her royal elegant appearance.
She carried herself proud, purring
like a kitten, never boisterous or loud.
Stroking her perfect body, touching
her curves oh so gently.
He felt like the king of the ball, stood
handsome and so very tall.
Together they made their royal entrance,
totally captivating the audience.
Proud as can be,
they danced- for all to see.
Screams of elation filled the crowd,
while this royal couple took their bows.
A dance performed with perfection,
no need for criticism or direction.
An applaud broke out, a standing ovation.
Smiles laughter an awesome celebration.
The competition ended in glory,
now on with that fairy tale story."
2,Emotion,DancePoemsVisionsOfTerroristsDanceInMyHeadPoembyBEAUGOLDEN,"We are Americans went nuke in 41
We are Americans we have the biggest gun
We now fight a war of attrition
We underestimate all our competition
We fight to maintain our hegemonious crime
We really don't care if we get there in time
We build a new weapon that kills before threat
We send in a soldier who isn't dead yet
We send in a soldier who comes back to life
We send home an alien to impregnate his wife
Visions of Terrorists soon walking our streets
Visions of Terrorists soon buying our meats
Visions of Terrorists dance in my head
Clinton and Rushdie will leave us for dead
Visions of Terrorists torture my brain
America, the collective, is going insane
(written June 10,1995)"
3,Emotion,DancePoemsDanceWithMeInTheKeyOfLifePoembyGeorgeJeroneBrotherDeBuffJefferson,"Holding the strings of vibes
We move to dance of life
When I look I see your essence
In space now empty
Quiet where the shout of whisper
Voice unheard in heart beats
Come here and dance
Hear the song of my mind
Dance to my beat in life
Let me hold you close to me
I feel my song is you
I want to sing you play to you
My beautiful song you be
Let me turn you
In step with my life
Move with me to music of life
Dance to pain of life
To joy of reality
The song for us to dance
Your moans of pleasure
Move me to love you
I now want to dance with you
Our finger touch our lip meet
Kissing to beats of jazz before
The blue come down on my soul
On I am coming to be true
To need what you be for me
Let just dance to our song
What the matter I’m the same as
Before your beats is my beat
Come dance with me come need me
I wait for you to know
I am for you only
Dance come dance your story with me
Move to life up and down
Dance with me I need you to dance
The dance of life in song of love"
4,Emotion,DancePoems0057StrictTempoAPoemToDanceToPoembyMichaelShepherd,"One Two Three Four
One Two Three Four
Forwards. Sideways.
Sideways. Back...
Victor Sylvester, Victor Sylvester,
I thought of you yester-
day, white tie and tails,
trousers as tight
as a ball without a ballroom,
Cuban Romeo moustache and
patent leather hair...
drumming out strict tempo
the tempo of our lives
learning to dance girlfriends
into bed or into wives...
do they still teach ballroom
to your hissing records,
down in Cheam or Purley,
head up, shiny shoes,
pressed tight, breast to breast,
adolescents wondering
if a jockstrap would be best?
now it's coming back, I see,
One Two One Two
swing her round and pronto,
but watch, don't dropp her onto
that shiny shellacked floor...
Ou sont les disques d'antan, je me demande?
....gone and played, the yesteryears..
our sweaty-sweet Sylvester years..
one two, one two,
our memory's locked embrace..."
5,Emotion,DancePoemsIWantToDancePoembyRachelBeu,"How does it feel to be?
On the floor with all eyes on you?
To move so swiftly and gracefully
To be loved
What is it like to dance?
What is it like to feel your partner?
And when do you start
Before the song ends and all you’ve
Hoped for comes to a halt
And time seems to stand still
Leaving you lost
Standing alone with your partner still in motion
How does it feel to be in love?
How does it feel to cry of a broken heart?
How does it feel to know stop from start?
What is it like to dance?
I want to know
I want to feel
I want to be able to cry
I want to love
I want to move
I want to sing like you
I want to breathe
Can you give me one last chance?
Can you teach me?
Can I learn?
That is what I want
That is what I need
Help me to Dance"
6,Emotion,DancePoemsAnOrchardDancePoembyNormanRowlandGale,"All work is over at the farm
And men and maids are ripe for glee;
Love slips among them sly and warm
Or calls them to the chestnut-tree.
As Colin looks askance at Jane
He draws his hand across his mouth;
She understands the rustic pain,
And something of the tender south
About her milkmaid beauty flits.
Her dress of lilac print for guide
Draws shepherd Colin where she sits,
Who, faring to her lovely side
To snatch his evening pension tries,
But skimming like a bird from clutch
The maid escapes his Cupid touch,
And speeding down a passage flies
Not fast enough to cheat his eyes.
Ah, sweet-lip ways and sweet-lip days,
And sweetheart captures of the waist,
How swiftly still the virgin runs
She's sure at last to be embraced!
Now Colin fires at kiss delayed,
And faster flits the red stone floor
Till Fortune yields the tricky maid
A captive at the pantry door!
The farmer with his fifty years
Is not too old to join the fun;
He pulls the milkmaids' pinky ears
And bids a likely stripling run
To find the fiddlers for a dance:
And in the cherry orchard there
A tune shall mingle with romance,
And love be brave in open air.
The village wakens to the bliss,
The crones and gaffers crawl to see
The country game of step and kiss
Beneath the laden cherry-tree.
The chairs and benches now are set,
Old John is wheedled from his pet,
The cider cup with beady eyes
Responds to winkings of the skies.
The farmer, burly in his chair,
Now claps for ev'ry fond and fair
To foot it on the grassy patch
While rustic violinists snatch
From out those varnished birds of wood
A tune to jink it in the blood.
Now Jane and Colin in a trice
Float sweetly round not less than thrice
Before their motion draws a pair
To revel with the dancing air.
The thrush, that on his velvet wipes
His juicy bill, protesting pipes,
And, somewhat as a piccolo,
Doth race the concord of the bow.
A virgin yonder by the tree
Rejects a mate who saucily
Would press, if she might only start,
Her modest homespun to his heart.
Ah, sweet-lip ways and sweet-lip days,
And sweetheart captures of the waist,
Though like a finch the maiden flies
She's sure at last to be embraced.
The orchard now is in full bloom
With rosy cheek and snowdrop throat;
The stars invade the growing gloom,
And rarelier sounds the blackbird's note.
But in this dewy little park
Love burns the brighter for the dark,
And till he use a stricter rule
Dear Cicely's cheek shall never cool!
The fiddlers storm a tomboy tune,
The shepherds closer clasp the girls
While skirts the more desert the shoon,
And rebel leap the loely curls.
The farmer glows within his chair
And muses on the dancing time
When he and she--a matchless pair--
Were warm and nimble in their prime.
God bless the man who, duller grown,
Can feel the younger heaven anew
By granting to his maids and men
A romp by starlight in the dew!
Ah, greenwood ways and greenwood days,
And soft pursuings of the waist,
The cheek must yellow out of praise,
And bent be those who once embraced!
And now they pant against the trees,
And, using darkness for their plan,
Girls loose the garters at their knees
And mend the clumsiness of man.
One virgin, thankful for the dance,
About the music shyly trips--
Her Love's a fiddler, and her love
Pops fruit in Paganini's lips;
Or finding on the starlit tree
The wife and husband cherry there,
She hangs the couple at his cheek
And hides the stalk with tufts of hair.
The girls are at the cider-cup,
And shepherds tilt the yellow base
Until a giddy amber flood
Runs, kissing, over Cicely's face,
And Dora's upper lip doth shine
With winking beads of apple-wine.
The fiddlers scrape a farewell tune,
The dancers dwindle in the dusk
While summer puffs of easy wind
Bring hints of cottage garden musk.
And thus the revel dearly ends
With milkmaid's palm in shepherd's hand,
And lovers grow from only friends
Where plum and pear and apple stand.
Ah, sweet-lip ways and sweet-lip days,
And sweetheart captures of the waist,
How fast so-e'er the virgin flies
She's sure at last to be embraced!"
7,Emotion,DancePoemsGhostDancePoembyRayLucero,"Long ago a prophet appeared,
A Piute Medicine Chief known as Wovoka.
He spoke to the Lakota people and others,
Of how to banish the white man.
They knew not they faced such great numbers.
This Messiah taught the Ghost Dance,
And promised come next spring,
New soil would smother all white men,
Sweet grass would cover the land,
Wild horses & buffalo would return,
All who danced the Ghost Dance,
Would be taken up into the air,
Suspended while new earth was laid down.
Kicking Bear assured Sitting Bull that,
If their people wore Ghost Dance shirts,
White mans bullets could not strike them so,
They painted their shirts with sacred symbols.
Indian agents grew nervous, moved quickly,
Telegraphing Washington for more troops.
Soldiers surrounded Sitting Bulls camp,
A fight ensued and many were killed.
Ghost Dance was thwarted,
before magic could fulfill...
'The Second Coming” prophecy belonged to the white man,
For they worshiped 'A Most Jealous god”"
8,Emotion,DancePoemsFirstDancePoembyNehaDua,"Like an infant in the cradle
I rocked in his arms and penned this fable
The sweet lucid lyrics of the song
Made me forget right and wrong
He looked at me as if a rainbow in the sky
My heart skipped a beat and I felt so shy
My silky black hair acted as a veil
But his one touch and I let myself sail
He held me close and his lips touched mine
As if a thirsty soul tasted french wine
My fingers then reached his curly hair
Ang got entwined without care
I envisioned our future in those moments so pure
He is my soulmate my heart said for sure
The time should stand still was my wish
I know I was acting childish
One last embrace and that will be all
For I have to rush back before my dad's call
Mesmerized by the thought of that beautiful evening
I am writing this while his intoxicatins smell still lingering.."
9,Emotion,DancePoemsDanceTheCrazyDancePoembyRosalitaFern,"Im Starting to live my life,
Im dancing my crazy dance!
Im singing my favourite song like no one is listening
Im shouting to Rock songs like its how im meant to
Im moshing with no one else around
Join me
Love Life
DANCE that crazy dance,
SING that song out loud
Shout to that Rock song
Mosh like your in a pit
Live Life
Love Life"
