,topic,file,text
0,Emotion,JoyPoemsJoyAndPeaceAndLovePoembyCarmelaPatterson,"Year's end is swiftly encroaching,
Leaving the present year behind,
The New Year is fast approaching,
The goals we sought, did we find?
Were we satisfied with mediocrity?
Did we strive for so much less?
Did we flaunt an air of superiority?
Did we make of ourselves a pitiable mess?
The time is coming for a new resolution
The New Year offers new promise and hope
We plead with God for  His absolution
And trust in His mercy to help us cope.
Starting afresh, let us begin the New Year
By recalling His Tenets and  His Law
Remembering that He is always near
Ready to catch us if and when we fall.
Seas may rage and oceans may heave
And fall we shall ~ but do not always fear it
For Jesus told us that He will never leave
Through the Power of His Holy Spirit.
Spiritual things are seen and unseen
It is within the soul we come to know it;
In evaluating our walk we see where we've been
Growing in holiness ~ or ~ wallowing in sin
Forgiveness is needed without a doubt
And when it is given we want to shout
for and with
Joy and Peace and Love
All Blessings from God above!
Joy and Peace and Love! !
Joy and Peace and Love! ! !
Let's begin the New Year
with renewed
JOY and PEACE and LOVE"
1,Emotion,JoyPoemsInfantJoyPoembyWilliamBlake,"'I have no name;
I am but two days old.'
What shall I call thee?
'I happy am,
Joy is my name.'
Sweet joy befall thee!
Pretty joy!
Sweet joy, but two days old.
Sweet Joy I call thee:
Thou dost smile,
I sing the while;
Sweet joy befall thee!"
2,Emotion,JoyPoemsJoyJoyJoyPoembyAlmediaKnightOliver,"Joy, Joy, Joy
J oy-filled cornucopia  that
O verflows with goodies  that
Y ields from joy (the source) :
pleasure
happiness
enjoyment-so
allow no externals
To lay claim to inner joy!
Almedia Knight and
Claude H.Oliver II"
3,Emotion,JoyPoemsAndYouWillShedTearsOfJoyPoembyANJALISINHA,"My love so intense
like fragrant musk’s incense
Would
permeate you
hypnotize you
anesthetize you
And you will shed tears of Joy.
My love so hot
like blazing sunspots
Would torment you
torture you
tantalize you
And you will shed tears of Joy.
My love so calm,
like soothing divine balm
Would comfort you
caress you
heal you
And you will shed tears of Joy.
My love so high
like majestic sky
Would shelter you
protect you
comfort you
And you will shed tears of Joy.
My love so forgiver
like pristine pure river
Would cleanse you
purify you
rectify you
And you will shed tears of Joy.
My love so divine
like Old bottled wine
Would energize you
galvanize you
divinize you
And you will shed tears of Joy.
My passion
emanating from divine station
would shock you
rock you
knock you
And you will shed tears of joy.
My emotions
healing as divine potion
would envelope you
embrace you
embarrass you
And you will shed tears of joy.
My divine eyes
calmer than sky
would chase you
daze you
amaze you
My Baby!
And you will shed tears of joy.
ANJALI  SINHA
18-12-2008"
4,Emotion,JoyPoemsTzUNo2WineJoyPoembyLiChingChao,"To the tune ""As in a Dream""
I have long remembered
the pavilion
on the stream
the falling sun
so deep in wine
we did not know
the way home
how pleasure spent
late returning
the skiff
thoughtless
entered
a lotus deep place
and struggling through
struggling through
we scared up
from the sand
gulls and herons."
5,Emotion,JoyPoemsJoyAndSorrowPoembyJohannWolfgangvonGoethe,"As a fisher-boy I fared
To the black rock in the sea,
And, while false gifts I prepared.
Listen'd and sang merrily,
Down descended the decoy,
Soon a fish attack'd the bait;
One exultant shout of joy,--
And the fish was captured straight.
Ah! on shore, and to the wood
Past the cliffs, o'er stock and stone,
One foot's traces I pursued,
And the maiden was alone.
Lips were silent, eyes downcast
As a clasp-knife snaps the bait,
With her snare she seized me fast,
And the boy was captured straight.
Heav'n knows who's the happy swain
That she rambles with anew!
I must dare the sea again,
Spite of wind and weather too.
When the great and little fish
Wail and flounder in my net,
Straight returns my eager wish
In her arms to revel yet!"
6,Emotion,JoyPoemsFieldsOfJoyPoembyDónallDempsey,"I see you
coming through these fields of joy
through the blaze of wheat
lost in
this shimmering heat
haze
with & without
form
now a scarlet dress
now nothing but a flame
burning
in the distance
my heart
flaming with desire
at the thought of the touch of your hand
the ordinary everyday miracle of your smile
transforming itself into the mystery of your kiss
I see you
coming through
my fields of joy
a red flame
disguising itself
as a woman
shimmering through wheat
my heart lost
in this haze of heat
my voice
erases
the distance
closes down
the distance
longing for
the nearness
of your nearness
my words
set free to the sky
fly
into the shape
that birds would make
if they could write:
“I love you! ”
across this blue
you
waving
waving
at my voice"
7,Emotion,JoyPoemsJoyPoembysumaira,There is much satisfaction in work well dond; praise is sweet; but can be no happiness equal to the joy of finding a heart that understands.
8,Emotion,JoyPoemsJoyAndJoyPoembyGajananMishra,"Joy and joy
Find joy in living
Find joy in working
And I must think
You are perfect
Joy and joy
And no way left."
9,Emotion,JoyPoemsAnOldManSearchForJoyPoembyKelvinBroadwater,"Can a man of old age find joy in his day of old?
Truly there is joy and light! If he search in the
Deepest core of his heart, there is a light, brighter
Than the sun that shine each day, whether it be
Sunny or gray. A light of truth that stands still in
His heart, as the candle without the fire, that
Desires, a spark. Waiting to explode as a huge
Volcano, or maybe a flick of flint. Truly joy is in
The light that is deep in his heart. If he search
After it, it will grow. If he refuse it, it will
Continue to drift away, as a bottle cast into the
Open sea, or a kite airborne with a broken string.
""Joy, light, all the same within the heart, hidden
Deep as the fossils of the days of old, search"" I say,
As looking for a hidden treasure, while the time of
Life beats as the wave against the rocks on the sea
Shore. Before life is no more, find it quick, joy in the
Light of the heart."
