,topic,file,text
0,Emotion,HeroPoemsNedKellyWasAHeroPoembyFrancisDuggan,"Ned Kelly was a hero and despite what some do say
The legend of his bravery in Australia lives today
As game as Ned Kelly is a well known Aussie quote
The leader of the Kelly gang remains as one of note.
The Kelly gang were victims of unfair local law
And the raping of his sister Kate by the police was surely the last straw
Ned and his brother Dan and their friends Steve Hart and Joe Byrne became outlaws and they ranged far and wide
And they robbed banks in the small Towns of Victoria-New South Wales border Countryside.
The most recognizable Australian in Australia's brief white history
His unfair trial and his hanging in Melbourne jail assured him of immortality
Though far better people than them are long forgotten and gone
The legend of the Kelly gang is with us and lives on.
The Kelly gang were not as ruthless as some make them out to be
They may have caused the deaths of a few Policemen but even those with anti Kelly views agree
That there was some provocation the Kelly gang was on the run
And you shoot back when you are shot at that is the law of the gun.
Ned Kelly is a hero and 'tis said that he died game
And in Australian folklore his is an immortal name
And whatever way you see him on one thing all do agree
That the legend of the Kelly gang lives on in Aussie history."
1,Emotion,HeroPoemsMyHeroPoembyMichaelPJohnson,"Jesus my Hero God & man
My Lord who’s never far
I salute You because I can
And who in truth You are
What so many consider odd
Contra what fools may say
There really is an awesome God
Through love to show The Way
The Way to love to endless bliss
Beyond this world of fears
To a life far greater than this
In a Land free of tears
He is my strength my trusted shield
My fortress and my sword
Now to the foe I’ll never yield
My Hero is The Lord
A precious God a wondrous King
A Hero born to free
Who’s praises forever I’ll sing
For saving such as me
With hands aloft with head held high
With eyes watching above
Together my Hero and I
Will show my neighbours love
Surely my Hero I salute
For giving me His hand
That I may bear my Saviour fruit
Towards His Promised Land
Perhaps these eyes may soon grow dim
I’ll trust who is my friend
Should I wonder seeing in Him?
My Hero to the end"
2,Emotion,HeroPoemsTheHeroPoembySiegfriedSassoon,"'Jack fell as he'd have wished,' the mother said,
And folded up the letter that she'd read.
'The Colonel writes so nicely.' Something broke
In the tired voice that quavered to a choke.
She half looked up. 'We mothers are so proud
Of our dead soldiers.' Then her face was bowed.
Quietly the Brother Officer went out.
He'd told the poor old dear some gallant lies
That she would nourish all her days, no doubt
For while he coughed and mumbled, her weak eyes
Had shone with gentle triumph, brimmed with joy,
Because he'd been so brave, her glorious boy.
He thought how 'Jack', cold-footed, useless swine,
Had panicked down the trench that night the mine
Went up at Wicked Corner; how he'd tried
To get sent home, and how, at last, he died,
Blown to small bits. And no one seemed to care
Except that lonely woman with white hair."
3,Emotion,HeroPoemsLetMeBeYourHeroPoembyJoHannaErk,"Let Me Be Your HERO
By: Jo E
My daughter, let me be your Hero.
Let me take you hand and lead you into a dance.
Let me look at you and take you in my arms.
Dance with me in the Rain.
But most of all my daughter 'Let me be you Hero'
Let me show you how much you are loved.
Let me show you how much I LOVE YOU.
Let me just protect you.
But most of all, will you Let me be YOUR  HERO
Let me be YOUR HERO
Take my hand, and i will lead you.
I will lead you to the most beautiful, wonderful, magic place where its just you and me!
Let me be Your HERO
I will take you hand in mine and never let go
Let me be YOUR HERO
I will love you till eternity
Let me be YOU HERO
Let me hold you in my arms where u just want to cry
Let me be YOUR HERO
I wil protect you, when there is no one to protect you. Ill BE YOUR HERO!
WIll you just let me be you HERO?
My Daughter ILL be YOUR HERO if only you will LET ME BE YOUR HERO!
©2009"
4,Emotion,HeroPoemsmyHeroAStoryPoembyWalterBurlock,"When I was a little kid about 7 or 8 years old there was this girl. She was a lot older then me. She took care of me when my foster mother and father had a break. She was really caring and polite. I was really fussy but she got me what ever I needed. She showed me there is good out there. So I tried being like her. There was one time she let me steer her car, she still had control of the gas and the brake, I thought it was the coolest thing. When I grew up I noticed when you had no control over anything, you can have control for just a little at a time. You start to know your mistakes. When I was steering that car I was swerving, but I had her to correct my mistakes. Her correcting them for me while I was by her side, I learned it a lot faster then I would of on my own. Now we aren't that close to each other, and I started to forget what she taught me that one day. I didn't like how I was treating other people and I thought about stuff to be a better person.  I thought and thought about it and I remembered what she did for me. I was changing a little at a time. There was a lot more then what I  wrote in this story. I don't know how to thank her, maybe this story will do more than I think. Thank You for being my hero."
5,Emotion,HeroPoemsToHermannStoffkraftPhDTheHeroOfARecentWorkCalledParadoxicalPhilosophyPoembyJamesClerkMaxwell,"A paradoxical ode, after Shelley.
I.
My soul is an entangled knot,
Upon a liquid vortex wrought
By Intellect, in the Unseen residing,
And thine cloth like a convict sit,
With marlinspike untwisting it,
Only to find its knottiness abiding;
Since all the tools for its untying
In four-dimensioned space are lying
Wherein thy fancy intersperses
Long avenues of universes,
While Klein and Clifford fill the void
With one finite, unbounded homaloid,
And think the Infinite is now at last destroyed.
II.
But when thy Science lifts her pinions
In Speculation’s wild dominions,
We treasure every dictum thou emittest,
While down the stream of Evolution
We drift, expecting no solution
But that of the survival of the fittest.
Till, in the twilight of the gods,
When earth and sun are frozen clods,
When, all its energy degraded,
Matter to æther shall have faded;
We, that is, all the work we’ve done,
As waves in æther, shall for ever run
In ever-widening spheres through heavens beyond the sun.
III.
Great Principle of all we see,
Unending Continuity!
By thee are all our angles sweetly rounded,
By thee are our misfits adjusted,
And as I still in thee have trusted,
So trusting, let me never be confounded!
Oh never may direct Creation
Break in upon my contemplation;
Still may thy causal chain, ascending,
Appear unbroken and unending,
While Residents in the Unseen—
Æons and Emanations—intervene,
And from my shrinking soul the Unconditioned screen."
6,Emotion,HeroPoemsJackieRobinsonanAmericanHeroPoembyStanleyCooper,"He never asked to be a hero
For him, playing ball would be just fine
Potentially his chance was less than zero
To overcome that black-white racist line
Unlike Duke, Dimag and Mickey
Jackie entered through back doors
The stage was set by Mr. Rickey
For Robinson to fight that Civil War
Sports, they say, mirrors society
So, they should have hung their heads in shame
For what was then America's propriety
Brought prejudice to every game
The Brooklyn Bums, at long last, found salvation
When Robinson's talents were revealed
With the awesome double-play combination
Reese and Jackie brought to Ebbetts Field
Stealing fan's hearts with baseball fire
Displaying skills in every way
Robinson played with such desire
Stealing bases most every day
They could never expect fom him the expected
He turned the most racist hate to love
And finally he was most respected
Respect that came from more than bat and glove
For Jackie, baseball was more than just a game
He opened doors for Campy, Mays and others
Number 42, now in the Hall of Fame
Proved men of all colors could play in life as brothers
He never asked to be a hero!"
7,Emotion,HeroPoemsTheHeroPoembyBurnellRaphael,"Crossing the battlefield early today
Amidst bombs dropping, bullets flying,
I saw a soldier kneel to pray
Amongst the wounded and dying.
I could see a cross on his arm
As he knelt in the slimy mud,
He seemed not to show any alarm
Binding wounds, giving blood.
An enemy tank rumbled by
Crushing the wounded and the dead,
A soldier crying,""Am I going to die?
I'm badly wounded in my head.""
The medic crawled over to him
Looked, then bowed his head in prayer,
He watched as the lad's eyes grew dim
Then covered the body with loving care.
A shell exploded at his side
Shrapnel ripped into his chest,
On the field the medic died
Thinking, ""Lord, I did my best."""
8,Emotion,HeroPoemsAHeroPoembyKatharineTynan,"He was so foolish, the poor lad,
He made superior people smile
Who knew not of the wings he had
Budding and growing all the while;
Nor that the laurel wreath was made
Already for his curly head.
Silly and childish in his ways;
They said: 'His future comes to naught.'
His future! In the dreadful days
When in a toil his feet were caught
He hacked his way to glory bright
Before his day went down in night.
He fretted wiser folk--small blame!
Such futile, feeble brains were his.
Now we doff hats to hear his name,
Ask pardon where his spirit is,
Because we never guessed him for
A hero in the disguise he wore.
It matters little how we live
So long as we may greatly die.
Fashioned for great things, O forgive
Our dullness in the days gone by!
Now glory wraps you like a cloak
From us, and all such common folk."
9,Emotion,HeroPoemsHeroPoembysaramessina,"No one sits with him
he doesnt fit in
we feel like we do when we make fun of him
cause you want to belong
Do you go along
his pain is the price paid for you to belong
its not like you hate him or want him to die
but maybe he goes home and thinks suicide
or he comes back to school with a gun at his side
and a kindness from you might  have saved his life
Heros are made when you make a choice
you could be a hero
heros do whats right
you could be a hero
you might save a life
you could be a hero
you could join the fight
for whats rights, for what right, for whats right
no one talks to her she feels so alone
shes in to much pain to survive on her own
the hurt she cant handle overflows to a knive
she writes on her arm
wants to give up her life
each day she goes on is a day thats shes brave
fighting the lie that giving up is the way
each moment of courage
her own life she saves
when she throws the pills out
a hero is made
you could be a hero
heros do whats right
you could be a hero
you might save a life
you could be hero
you could join the fight
for whats right, for whats right, for whats right
no one talks to him about how he lives
he thinks that the choices he makes are just his
doesnt know hes a leader with hte way he behaves
and others will follow the choices hes made
he lives on the edge
hes old enough to decide
his brother who wants to be him is just nine
he can do what he wants
because its his right
the choices he makes change a nine year olds life
Heros are made when you make a choice"
