,topic,file,text
0,Emotion,EvilPoemsEvilInfluencePoembyGeorgeMacDonald,"'Tis not the violent hands alone that bring
The curse, the ravage, and the downward doom,
Although to these full oft the yawning tomb
Owes deadly surfeit; but a keener sting,
A more immortal agony will cling
To the half fashioned sin which would assume
Fair Virtue's garb; the eye that sows the gloom
With quiet seeds of Death henceforth to spring
What time the sun of passion burning fierce
Breaks through the kindly cloud of circumstance;
The bitter word, and the unkindly glance,
The crust and canker coming with the years,
Are liker Death than arrows and the lance
Which through the living heart at once doth pierce."
1,Emotion,EvilPoemsArsenicVerificationOfEvilSmokeDetector21709PoembyVerleciafields,"audible by design, cheating fate playing as life's protector
you had me fooled, with blinking and what not
caring on as, you pushed out your white powered of illness
but it did not wash my black away
my illness is but away to let me see
you planed with great care to take my life form from me~
i want only to see your good name paster all over the news
and for other to know that in your blood.... line
only hate will appear~ with money and sin taken with smilies
so that in your death other will curse your name...
and see that those that came from your fruit...
are but arsenic by design~
aka: lyricvixen"
2,Emotion,EvilPoemsEvilWomanPoembyJuanOlivarez,"A woman, made you cry,
A woman, took your breath away,
from deep within she drew your sighs,
and left you dreaming in the day.
A woman, made you play the fool,
A woman, made you bang your head,
at four in the morning, creeping like a ghoul,
wishing you were some place else instead.
A woman, laughed as you played the clown,
when you tried to impress her with your wit,
when you thought there was no one else around,
but she toyed with you, as she saw fit.
A woman, with ice around the heart,
A woman, that you never knew,
she broke your spirit, like a poisoned dart,
no, you never knew her, you had no clue.
For love of a woman, you gave your all.
For love of a woman, you walk alone.
For love of a woman, you had to fall,
a woman with a heart of stone.
5/18/10 29 palms ca."
3,Emotion,EvilPoemsEvilDaysOrsomethingWonderfulPoembySeraphinaWick,"Evil days.
Jealous eyes.
The world's alive with hateful spies
Sent to see my spirit dies
Because it might be something... wonderful.
Evil days.
Haunted nights.
I feel naught beyond these blights
Upon my soul, my heart, my mind,
Left by people afraid to find
That I might be something... wonderful.
Evil days.
Wicked dreams.
Tears drench my pillow to the seams
That are frayed from pulling, pounding, and pain
That floods my spirit like poison rain
Falling from the lips of sneering foes
Who fear I might be something... wonderful.
Evil days.
Hopeful dawns.
I will arise to face these pawns
Of malicious Fate, that trembling power
That grows more nervous by the hour,
Realizing that I'll not be drowned,
I'll not be burned, I'll not be bound.
His chains can't hold me, his shackles won't hinder.
And though my heart is fragile as tinder
It has ignited with fires invincible.
One day they'll see I'm something... wonderful."
4,Emotion,EvilPoemsSocialEvilChildAbusePoembyrittypatnaik,"a child abused
a gift from god refused,
insanity at its peak,
makes young
and vulnerable weak.
beyond the scene of laughter
a murky cry of torture.
it pains to see,
a child humbled and scared,
with pain in the eyes,
unspoken fear of shame,
and a broken pride.
a gloom of darkness
around him spreads,
afraid to trust and,
mind never at rest,
shadow of torture
tears his being,
all his life
he sees himself dieing.
a childhood thus,
pain imprints in mind,
what ever happened,
to that glorious smile.?
a child
gift of god,
a blessing for parents,
a laughter in the home,
dont lose him,
to the darkness of fate
take care of him,
it is never too late."
5,Emotion,EvilPoemsInEvilLongITookDelightPoembyJohnNewton,"In evil long I took delight,
Unawed by shame or fear,
Till a new object struck my sight,
And stopped my wild career.
I saw One hanging on a tree,
In agony and blood,
Who fixed His languid eyes on me,
As near His cross I stood.
Sure, never to my latest breath,
Can I forget that look;
It seemed to charge me with His death,
Though not a word He spoke.
My conscience felt and owned the guilt,
And plunged me in despair,
I saw my sins His blood had spilt,
And helped to nail Him there.
A second look He gave, which said,
“I freely all forgive;
This blood is for thy ransom paid;
I die that thou mayst live.”
Thus, while His death my sin displays
In all its blackest hue,
Such is the mystery of grace,
It seals my pardon too.
With pleasing grief and mournful joy,
My spirit now is fill'd,
That I should such a life destroy,
Yet live by Him I kill'd."
6,Emotion,EvilPoemsEvilDoersPoembyMitziWaters,"Evil doers will tear love down,
spin love round and round,
like a whirlwind.
But hold onto the love,
if one knows it to be true.
Do not listen to the lies,
deception, or untruths.
And yet, there is some consolation,
there is some purpose to life.
There is the lovely destiny,
that's waiting on the other side.
It's full of love and truth,
shining brightly as a star.
But the only way to find it,
is to follow the strength,
and beauty of the heart."
7,Emotion,EvilPoemsEvil4PoembyScarlet,"as you trapped me
as you attacked me
I saw it all
I saw you change before my eyes
I saw the mask fall
I saw the true you
the evil you from inside
how could I have missed this
for I lay there trapped
trapped staring into those eyes
evil eyes
I could see your evil mind at work
for you were laughing as I screamed
as I cried
you laughed when you broke me
you enjoyed it
you torn my body in two
leaving me in pieces on the ground
you enjoyed it all
all the pain you caused me
when you were done
you smile and said
'I know you enjoyed it
they always do'
it was then I realized
I was not the first
and I won’t be the last"
8,Emotion,EvilPoemsEvil5PoembyScarlet,"in that moment
I realized
what I had to do
I could not let this happen to more girls
for I know I wasn’t your first
and if I don’t do this I will not be your last
I now you will not stop on your own
so you will have to be stopped
for if the girl before me realized the same
I might still be whole
but instead I am in pieces
I am broken beyond repair
you stole something from me that can never be returned
so I own it to your next victim
I own it to myself to fight
to stop you
to make you pay
and I will make you pay
pay for all those you hurt
pay for everything"
9,Emotion,EvilPoemsEvilFriendPoembyAparnaChatterjee,"There is Something
Very Evil about him
And he calls himself
A Friend.
It is better to be
Harmed by
Foes in Life
Than be Ruined
By such an
Evil Friend."
