,topic,file,text
0,Emotion,LifePoemsAPsalmOfLifePoembyHenryWadsworthLongfellow,"Tell me not, in mournful numbers,
Life is but an empty dream!
For the soul is dead that slumbers,
And things are not what they seem.
Life is real! Life is earnest!
And the grave is not its goal;
Dust thou art, to dust returnest,
Was not spoken of the soul.
Not enjoyment, and not sorrow,
Is our destined end or way;
But to act, that each to-morrow
Find us farther than to-day.
Art is long, and Time is fleeting,
And our hearts, though stout and brave,
Still, like muffled drums, are beating
Funeral marches to the grave.
In the world’s broad field of battle,
In the bivouac of Life,
Be not like dumb, driven cattle!
Be a hero in the strife!
Trust no Future, howe’er pleasant!
Let the dead Past bury its dead!
Act,— act in the living Present!
Heart within, and God o’erhead!
Lives of great men all remind us
We can make our lives sublime,
And, departing, leave behind us
Footprints on the sands of time;
Footprints, that perhaps another,
Sailing o’er life’s solemn main,
A forlorn and shipwrecked brother,
Seeing, shall take heart again.
Let us, then, be up and doing,
With a heart for any fate;
Still achieving, still pursuing,
Learn to labor and to wait."
1,Emotion,LifePoemsTheBestThingInLifeIsLifeItselfPoembyDENNISTAYLOR,"The Best thing in life is life itself.
How we live it determines our role.
The Good the bad and the indifferent.
Even a sure thing Becomes I don't know.
The Hopes the Dreams The nightmares
They're all important parts of the game.
The only rule is there are no rules.
And every one of us is to blame.
So a bit of advice I give to you.
On your journey through the looking glass,
Leave the future to the future.
And the Past to the Past
Believe in yourself. Believe in God.
And make an effort to do it right
For tomorrow is promised to no one.
And this just may be you're last night."
2,Emotion,LifePoemsc1LifePhilosophyLifeIsPoembyRenuRakhejaakaTranquilOcean,"It has neither a beginning nor an end
You can never predict where it will bend.
Life is a teacher, it will show you the way
But unless you live it...it will run away.
If you have no fear of living, you will find
No fear of death and you will not mind.
You have to feel the agonizing sorrow and feel the pain
Only then it will heal and you will be whole again.
It is in every leaf, in your smile, in your tears
In your toil, in your triumphs and in your fears.
Just enjoy the journey without looking back
Savour the senses and you will not lack.
Truth is more in the process than the result
Liberates you from thought and you can exult
To see the truth in the false, thats the key
To understand, without changing it...just let it be
Love life, live it and it will set you free...."
3,Emotion,LifePoemsTheLifeOfAPumpkinBeginsAtItsPollinationWhenDoesHumanLifeBeginPoembyNHIENNGUYENMD,"Now, the spring season is almost over.
My Asian pear trees are loaded with green baby fruits.
Tulip garden already closed its season.
In my lush garden, mustard greens bolster flowers.
Many butterflies and bees convene here.
Koi fish joyfully swim under dawning light.
Red Knockout roses bloom around my Koi pond.
Under blue sky and silver clouds, breezes softly touch rose petals.
A metal fence sits at the end of a nearby tennis court.
Horizontally on this fence, a long pumpkin vine crawls
Under blue sky and on white fence, yellow pumpkin flowers bloom.
I sip a cup of coffee with its rising smoke of sweet aroma
While I carefully spread pollen with q-tip in my other hand.
In place of insects, I pollinate the pumpkin flower.
Just in few days, a new pumpkin will grow to fit my folded palm.
I know for sure, by pollinating the female flower with pollen,
The life of this new pumpkin begins at this very moment.
NHIEN NGUYEN MD
June,2016
Above poem is the translation poem of the Vietnamese poem of NHIEN NGUYEN MD:
CUỘC ĐỜI TRÁI BÍ BẮT ĐẦU KHI THỤ PHẤN, KHI NÀO ĐỜI NGƯỜI BẮT ĐẦU?
Bây giờ sắp hết mùa Xuân
Hàng lê tầu đã đầy cành trái non.
Vườn hoa tulip tàn rồi
Vườn rau xanh mướt, cải ngồng trổ bông.
Rộn ràng ong bướm về đông
Bình minh nắng mới, Koi bơi rộn ràng.
Quanh hồ, hồng đỏ Knockout
Trời xanh, mây trắng, gió lay cánh mềm.
Rào sân tennis gần bên
Một giây bí đỏ leo trên rào này.
Trời xanh, rào trắng, bông vàng
Sương đêm lóng lánh bông vàng, lá xanh.
Cà phê thơm khói, uống dần
Tay kia Q-tip phấn vàng nhẹ thoa
Tôi làm ông mối, bà mai
Chờ vài ngày nữa, bí vừa lòng tay.
Nhụy hoa đực cái giao nhau
Cuội đời trái bí bắt đầu từ đây.
NHIEN NGUYEN MD
June,2016"
4,Emotion,LifePoemsLifeAfterLifePoembyBhaswatChakraborty,"'Moner manush aslo kachhe
Tare dhorline tui jadaye....'
You didn’t embrace the beloved
Who came in your warm reach
To meet you many storms he braved
But why did your heart breach?
He came to illumine you
In the abyss of murky dark
What your mind went through
To push him away so stark?
Life after life he seeks your heart
Deeper and deeper he lands
Only the “Lover” knows him smart
For millennia long he stands
***************Translated from original Bengali poem***************"
5,Emotion,LifePoemsALifeWithoutLifePoembyRoseMarieJuanAustin,"He was given a life
A life devoid of life
He lives just to live
He breathes just to live.
A life anchored to pain
Suffering and total disdain
A life born into poverty
And stays in poverty
Is he in hell or purgatory?
Is he born just to die?
Who will free him
From this bondage
Of total nothingness?
He glimpsed at the horizon
He saw a dying moon
Dark clouds like cobra
Ready to snap his life.
Is he born just to die?
If this is his fate
I hope he will inherit
The Kingdom of God.
Copyright 2020, Rose Marie Juan-Austin, All Rights Reserved"
6,Emotion,LifePoemsLifeIsJustLikeLifePoembyRahmanHenry,"Being released from the womb of a woman
We walk towards another
To be chained again
None is dependable
None is lovable
Life is a coplex road
Walls, stones, mud, water...
Life is a groaning running through
Graveyards
Free, imprisioned
Imprisioned, free
Only a desire weeping alone in solitude
Life is just like life with no comparison"
7,Emotion,LifePoemsLoveLoveLifeLifeSenryuPoembyMAsimNehal,"in the love's blanket
our body melts together
to give a new life"
8,Emotion,LifePoemsTheBuriedLifePoembyMatthewArnold,"Light flows our war of mocking words, and yet,
Behold, with tears mine eyes are wet!
I feel a nameless sadness o'er me roll.
Yes, yes, we know that we can jest,
We know, we know that we can smile!
But there's a something in this breast,
To which thy light words bring no rest,
And thy gay smiles no anodyne.
Give me thy hand, and hush awhile,
And turn those limpid eyes on mine,
And let me read there, love! thy inmost soul.
Alas! is even love too weak
To unlock the heart, and let it speak?
Are even lovers powerless to reveal
To one another what indeed they feel?
I knew the mass of men conceal'd
Their thoughts, for fear that if reveal'd
They would by other men be met
With blank indifference, or with blame reproved;
I knew they lived and moved
Trick'd in disguises, alien to the rest
Of men, and alien to themselves--and yet
The same heart beats in every human breast!
But we, my love!--doth a like spell benumb
Our hearts, our voices?--must we too be dumb?
Ah! well for us, if even we,
Even for a moment, can get free
Our heart, and have our lips unchain'd;
For that which seals them hath been deep-ordain'd!
Fate, which foresaw
How frivolous a baby man would be--
By what distractions he would be possess'd,
How he would pour himself in every strife,
And well-nigh change his own identity--
That it might keep from his capricious play
His genuine self, and force him to obey
Even in his own despite his being's law,
Bade through the deep recesses of our breast
The unregarded river of our life
Pursue with indiscernible flow its way;
And that we should not see
The buried stream, and seem to be
Eddying at large in blind uncertainty,
Though driving on with it eternally.
But often, in the world's most crowded streets,
But often, in the din of strife,
There rises an unspeakable desire
After the knowledge of our buried life;
A thirst to spend our fire and restless force
In tracking out our true, original course;
A longing to inquire
Into the mystery of this heart which beats
So wild, so deep in us--to know
Whence our lives come and where they go.
And many a man in his own breast then delves,
But deep enough, alas! none ever mines.
And we have been on many thousand lines,
And we have shown, on each, spirit and power;
But hardly have we, for one little hour,
Been on our own line, have we been ourselves--
Hardly had skill to utter one of all
The nameless feelings that course through our breast,
But they course on for ever unexpress'd.
And long we try in vain to speak and act
Our hidden self, and what we say and do
Is eloquent, is well--but 't#is not true!
And then we will no more be rack'd
With inward striving, and demand
Of all the thousand nothings of the hour
Their stupefying power;
Ah yes, and they benumb us at our call!
Yet still, from time to time, vague and forlorn,
From the soul's subterranean depth upborne
As from an infinitely distant land,
Come airs, and floating echoes, and convey
A melancholy into all our day.
Only--but this is rare--
When a belov{'e}d hand is laid in ours,
When, jaded with the rush and glare
Of the interminable hours,
Our eyes can in another's eyes read clear,
When our world-deafen'd ear
Is by the tones of a loved voice caress'd--
A bolt is shot back somewhere in our breast,
And a lost pulse of feeling stirs again.
The eye sinks inward, and the heart lies plain,
And what we mean, we say, and what we would, we know.
A man becomes aware of his life's flow,
And hears its winding murmur; and he sees
The meadows where it glides, the sun, the breeze.
And there arrives a lull in the hot race
Wherein he doth for ever chase
That flying and elusive shadow, rest.
An air of coolness plays upon his face,
And an unwonted calm pervades his breast.
And then he thinks he knows
The hills where his life rose,
And the sea where it goes."
9,Emotion,LifePoemsLifeIsTemporaryHereIsMyTemporaryLifeForYouPoembyRICBASTASA,"life is temporary, so temporary that it is like something
that you see
and then don't because it has escaped like slippery water from
the hold of your hands,
ephemeral
like a mist, like a fuming vapor from boiling water,
like an air that merely passes by your gaze
like the wind
that comes and goes away from your window
like a cloud that drifts
away from your roof, like a leaf that falls from a tree,
like a flower that blooms today
and tomorrow goes away in the wilting petals
life is so temporary like the ticking of the clock
that you hear at night
when again you cannot sleep
this is life
this is my life it is so temporary
and with all my heart
i will hand it to you as a gift
take it
take it
do you think that my life now exends your life?
do you think that you with my life can live a litlle longer?
take it
take it
it is all yours
because i still love you because i have long been dead in this pain
of you
not loving me despite...."
