,topic,file,text
0,Emotion,ParisPoemsParisPoembyGuillaumeApollinaire,"J'ai vu Paris dans l'ombre
Hypogée où l'on riait trop
Paris une grande améthyste
Ces soldats belges en troupe
Vieilles femmes habillées en Perrette
Après le pot-au-lait
L'officier-pilote raconte ses exploits
J'ai entendu la berloque
Mais quel sourire celui de celui qui eut sursis d'appel illimité
Ombre de la statue de Shakespeare sur le Boulevard Haussmann
Laideur des costumes civils des hommes qui ne sont pas partis
Les peintres travaillaient
Mon cœur t'adore"
1,Emotion,ParisPoemsFromParisToBrussels11PM15OctoberToHalfPast1PM16ProemAtTheParisStationPoembyDanteGabrielRossetti,"In France (to baffle thieves and murderers)
A journey takes two days of passport work
At least. The plan's sometimes a tedious one,
But bears its fruit. Because, the other day,
In passing by the Morgue, we saw a man
(The thing is common, and we never should
Have known of it, only we passed that way)
Who had been stabbed and tumbled in the Seine,
Where he had stayed some days. The face was black,
And, like a negro's, swollen; all the flesh
Had furred, and broken into a green mould.
Now, very likely, he who did the job
Was standing among those who stood with us,
To look upon the corpse. You fancy him—
Smoking an early pipe, and watching, as
An artist, the effect of his last work.
This always if it had not struck him that
'Twere best to leave while yet the body took
Its crust of rot beneath the Seine. It may:
But, if it did not, he can now remain
Without much fear. Only, if he should want
To travel, and have not his passport yet,
(Deep dogs these French police!) he may be caught.
Therefore you see (lest, being murderers,
We should not have the sense to go before
The thing were known, or to stay afterwards)
There is good reason why—having resolved
To start for Belgium—we were kept three days
To learn about the passports first, then do
As we had learned. This notwithstanding, in
The fullness of the time 'tis come to pass."
2,Emotion,ParisPoemsImJardinDesPlantesParisRilkeTranslationPoembyHerbertNehrlich,"His eyes, from looking at the passing iron bars
have tired and no images will hold
he feels as if there were a thousand bars
albeit behind them no reality at all.
The supple grace of lightly treading steps
endless gyrations of the smallest kind
a dance of strength encircling a core
which holds, subdued and numb a mighty will.
Brief moments when the pupil's curtains slide
an image passes, silently, inside
goes through the quiet of the body's lissome limbs
and finds its final rest inside the creature's heart."
3,Emotion,ParisPoemsGhostOfParisPoembyJosephNarusiewicz,"Fauvist moon smooth like Newton
Relative without warning
Nothing shall stop the coming cubes
Ulysses talks a new language
Sate painters in café haven
Change the motif of dragons
Avengers of amethyst poetry
Language of the future laughs
Choreographed in splinters of war
Stravinsky dances without melody
Gertrude Stein sighs like a panther
Art fornicates with Paris
Form relinquishes like deco stars
Boundaries melt into stage sets
Embrace the modern deluge
Freedom and choice celebrate
Boundless sea of color
Surrealism tides of the Mediterranean
Chagall, Matisse, Picasso, Braque
Cezanne was a great forest
Time has spoken like a canvass
All are blessed and punished
Some walk the left bank still
Seine River flows forever
The ghost of Paris haunts us all"
4,Emotion,ParisPoemsParisAutumnTranslatedPoemOfCungTrâMTươNgMuAThuParisPoembyNHIENNGUYENMD,"Paris Autumn
Leaving home in bitter cold
I waited for you at a small café
Red wine overflew my glass.
Rainy night Autumn
Familiar old streets and sidewalks
Leaves dropped on the park
Patiently, I waited for you, minutes then hours.
Silent Autumn
Beside Luxembourg garden
I waited for you on familiar stone bench.
Without you, my heart was frozen.
Where are you in Autumn?
My friend of brown eyes
And of fine blond hair
My fruit of sadness has red-ripened by awaiting.
Paris Autumn
Overflowing eyelids
My dorm girlfriend
Sneaked in with soft steps and whispers.
Voiceless Autumn
Fading lipstick on the lips
You returned with sadness
Forgetting bitterness, we amended our lives.
Autumn! Autumn!
Shady sky with low hanging clouds
With my generous loving heart
I have waited for you with my imprisoned heart and mind.
Autumn! ... Oh God! Autumn love!
NHIEN NGUYEN MD
11/24/2016
Above poem is English translation of original Vietnamese poem of CUNG TRẦM TƯỞNG:
MÙA THU PARIS
Mùa thu Paris
Trời buốt ra đi
Hẹn em quán nhỏ
Rưng rưng rượu đỏ tràn ly
Mùa thu đêm mưa
Phố cũ hè xưa
Công trường lá đổ
Ngóng em kiên khổ phút, giờ
Mùa thu âm thầm
Bên vườn Lục-Xâm
Ngồi quen ghế đá
Không em buốt gía từ tâm
Mùa thu nơi đâu?
Người em mắt nâu
Tóc vàng sợi nhỏ
Mong em chín đỏ trái sầu
Mùa thu Paris
Tràn dâng đôi mi
Người em gác trọ
Sang anh, gót nhỏ thầm thì
Mùa thu không lời
Son nhạt đôi môi
Em buồn trở lại
Hờn quên, hối cải cuộc đời
Mùa thu! mùa thu
Mây trời âm u
Yêu người độ lượng
Trông em tâm tưởng, giam tù
Mùa thu! ... Trời ơi! Tình thu!
CUNG TRẦM TƯỞNG"
5,Emotion,ParisPoemsParisAndDiomedesPoembyGeorgeMeredith,"[Iliad; B. XI V. 378]
So he, with a clear shout of laughter,
Forth of his ambush leapt, and he vaunted him, uttering thiswise:
'Hit thou art! not in vain flew the shaft; how by rights it had pierced thee
Into the undermost gut, therewith to have rived thee of life-breath!
Following that had the Trojans plucked a new breath from their direst,
They all frighted of thee, as the goats bleat in flight from a lion.'
Then unto him untroubled made answer stout Diomedes:
'Bow-puller, jiber, thy bow for thy glorying, spyer at virgins!
If that thou dared'st face me here out in the open with weapons,
Nothing then would avail thee thy bow and thy thick shot of arrows.
Now thou plumest thee vainly because of a graze of my footsole;
Reck I as were that stroke from a woman or some pettish infant.
Aye flies blunted the dart of the man that's emasculate, noughtworth!
Otherwise hits, forth flying from me, and but strikes it the slightest,
My keen shaft, and it numbers a man of the dead fallen straightway.
Torn, troth, then are the cheeks of the wife of that man fallen slaughtered,
Orphans his babes, full surely he reddens the earth with his blood-drops,
Rotting, round him the birds, more numerous they than the women.'"
6,Emotion,ParisPoemsParisCafeForLillianPoembyDavidMcLansky,"She sits and reads her livre de poche
And drinks her glass vin rouge,
And in her eyes are fragile tears
That secretly perfuse;
She is a lonely frightened bird
Who stares intent, head bent on words
Sitting at her cafe table
Afraid of life, a hopeless fable.
Claude summoned with a crooking finger,
She lonely, rescued, tried to linger;
She lived with him La Vie Boheme
Sat at his feet and worshipped him.
He tired of his petite jeune fille
Who knelt so grateful at his knee;
With palette knife she slashed her wrists;
Broke in upon his latest tyrst.
Claude bound her veins and carried her
To a summoned ambulance;
La Folle Americaine restrained,
And vite, expelled from France.
She sits alone
In the Day Room sun
Beside the plexiglass;
A book of Sartre in her lap,
A cracker, her repast;
Claude did not come
To visit her
While on his State-side trip:
She ate
Crushed grapes from
Spearing thumb
And kissed his finger tips."
7,Emotion,ParisPoemsLondonToParisPoembyJoyceHemsley,"Paris, the city of gaiety
Paris, oh city so bright
Paris, with girls continental
We are crossing the Channel tonight.
Euros we will spend by 'the plenty'
As soon as we step on your shore.
We love pretty girls continental
The shine in their eyes we adore.
We'll reach the top of the 'Eiffel'
Admiring the wonderful sight,
And we'll walk along the Champs Elysees
As we visit the City of Culture tonight."
8,Emotion,ParisPoemsAdieuParisPoembyGabrielVicaire,"Adieu, Paris, ville de fer,
Ville de vent, ville de rêve,
Cher Paris où l’amour se lève,
Doux Paris où j’ai tant souffert !
Et le train file, file, file,
Comme un éclair en pleine nuit…
Mon cœur fait encor plus de bruit,
Mon cœur qui n’est jamais tranquille.
Voici, sous la lune de mai,
La plaine qu’on dit pittoresque,
La verte combe où j’ai ri presque,
La colline où j’ai presque aimé.
L’histoire est-elle vraie ou fausse ?
Suis-je un bon, un mauvais témoin ?
Qu’importe ? – Voici déjà loin
Les mornes plaines de la Beauce.
Puis rien. – Du noir, du noir partout,
Noir dans le ciel et sur la terre,
Noir surtout au cœur solitaire,
Gonflé de rage et de dégoût.
Et le train file et le train vole
Avec ses gros yeux qui font peur,
Le train file à toute vapeur
Comme une bête à moitié folle.
Un vent mauvais semble frémir
Dans les verdures qu’on effleure ;
J’entends comme une âme qui pleure…
Mon Dieu ! si je pouvais dormir ?
Toujours, toujours, toujours la bête
Aux crocs baveux, aux flancs repus !
Toujours ces mots interrompus
Qui s’entrechoquent dans ma tête !
Les lourds pays indifférents
Montrent un coin de leur visage ;
La tristesse du paysage
Répond à mes rêves errants.
– Mais qu’est-ce ? – On dirait de la joie.
Tout n’ait donc pas mort encor.
Un trait rose, une barre d’or,
Et l’infini rit et flamboie.
Ce bleu tendre, ce bleu divin !
Qu’ai-je vu ? C’est la mer immense
Où tout finit et recommence,
Que nul jamais n’invoque en vain.
O consolatrice du monde !
Puissante mer, ô grande mer !
Si j’ai quelque chose d’amer,
Qu’il se noie en ton eau profonde !
Dame de sange et de langueur,
Ensorceleuse de la brume,
Ce n’est que dans ton amertume
Que je pourrai laver mon cœur !"
9,Emotion,ParisPoemstaiwanFangMingParisIsCryingSophyChensPoetryTranslationCEPoembySophyChen,"[台湾] 方明 《巴黎 哭泣》 （苏菲英译）苏菲诗歌&翻译网
巴黎 哭泣
方 明
——哀悼花都11月13日屠戮——
巴黎是很憂鬱的
爆崩的氤氳撕裂浪漫的
臉龐 殷紅的秋是血河泫染
窸窣落葉 死神的冷目狙擊着
劇院正值風月吭唱
柔情的摇喊與裸情的子彈
交錯出變調的輓歌
巴黎是很憂鬱的
燙熱的杯觥是紅酒是迸濺血漿
波特萊爾的詩歌被蹂躪成逃亡之淚 水
足球與榴彈相互竄向喑鳴的目標
卡繆的「反抗者」與 存在荒謬在此
痛苦印證人類忐忑的體溫
巴黎是很憂鬱的
璀燦的鐵塔與凱旋門 的無名火焰
開始漸漸蕭森闃然
空靜的咖啡館仍匍匐攀爬着
盧梭與大仲馬的精靈
彼此爭辨着自由與恩仇的宣言
而小酒館仍飄來悠揚的爵士玫瑰人生
2015 年 11月15日完稿
[Taiwan] Fang Ming Paris Is Crying （Sophy Chen's Poetry Translation C-E）Sophy Poetry & Translation Website Reported Firstly
Paris Is Crying
By Fang Ming
— To Mourn the Slaughter on November 13 in the Most Beautiful & Romantic Capital —
Paris is very melancholy.
The enshrouding smoke of a sudden explosion tore her romantic
Face. In the bright red autumn, the rivers of blood stained
The rustling fallen leaves. The cold eyes of death are sniping
The theatre, singing in her romantic throat, with love affairs.
The tender shaking, shouting and bullets of naked love
Staggered out of the tone of elegy.
Paris is very melancholy.
Wine in hot wine glasses is the red wine, and is the splashing blood plasma.
Baudelaire’s poetry has been torn into tears fleeing.
Football and grenade are mutually up to silent crying target.
Camus’ The Rebel and existentialism are paradoxical here
Which sadly confirm the mankind uneasy body’s temperature.
Paris is very melancholy.
The unknown flame of splendid Eiffel Tower and Triumphal Arch
Slowly start to be dreary, desolate and quiet.
Empty and quiet cafe being crept and climbed
The elves of Rousseau and Alexandre Dumas
Are another arguing of the declaration on freedom and hatred
While the bistro still floats the melodious jazz, La Vie En Rose
Finalized, November 15,2015
Translated by Sophy Chen 2015-11-17
（本诗原始语言为汉语，由苏菲首次翻译成英语，在中国大陆 发表，如有转载请注明出处）
（Its original language is Chinese, it is firstly translated by Sophy Chen into English and published in the mainland of China and if you will reproduce it please indicate the source.）"
