,topic,file,text
0,Emotion,MoonPoemsSonnetXlivPressDByTheMoonPoembyCharlotteSmith,"Press'd by the Moon, mute arbitress of tides,
While the loud equinox its power combines,
The sea no more its swelling surge confines,
But o'er the shrinking land sublimely rides.
The wild blast, rising from the Western cave,
Drives the huge billows from their heaving bed;
Tears from their grassy tombs the village dead,
And breaks the silent sabbath of the grave!
With shells and sea-weed mingled, on the shore
Lo! their bones whiten in the frequent wave;
But vain to them the winds and waters rave;
They hear the warring elements no more:
While I am doom'd—by life's long storm opprest,
To gaze with envy on their gloomy rest."
1,Emotion,MoonPoemsFromAFullMoonInMarchPoembyWilliamButlerYeats,"PARNELL'S FUNERAL
UNDER the Great Comedian's tomb the crowd.
A bundle of tempestuous cloud is blown
About the sky; where that is clear of cloud
Brightness remains; a brighter star shoots down;
What shudders run through all that animal blood?
What is this sacrifice? Can someone there
Recall the Cretan barb that pierced a star?
Rich foliage that the starlight glittered through,
A frenzied crowd, and where the branches sprang
A beautiful seated boy; a sacred bow;
A woman, and an arrow on a string;
A pierced boy, image of a star laid low.
That woman, the Great Mother imaging,
Cut out his heart.  Some master of design
Stamped boy and tree upon Sicilian coin.
An age is the reversal of an age:
When strangers murdered Emmet, Fitzgerald, Tone,
We lived like men that watch a painted stage.
What matter for the scene, the scene once gone:
It had not touched our lives.  But popular rage,
i{Hysterica passio} dragged this quarry down.
None shared our guilt; nor did we play a part
Upon a painted stage when we devoured his heart.
Come, fix upon me that accusing eye.
I thirst for accusation.  All that was sung.
All that was said in Ireland is a lie
Bred out of the c-ontagion of the throng,
Saving the rhyme rats hear before they die.
Leave nothing but the nothingS that belong
To this bare soul, let all men judge that can
Whether it be an animal or a man.
The rest I pass, one sentence I unsay.
Had de Valera eaten parnell's heart
No loose-lipped demagogue had won the day.
No civil rancour torn the land apart.
Had Cosgrave eaten parnell's heart, the land's
Imagination had been satisfied,
Or lacking that, government in such hands.
O'Higgins its sole statesman had not died.
Had even O'Duffy -- but I name no more --
Their school a crowd, his master solitude;
Through Jonathan Swift's clark grove he passed, and there
plucked bitter wisdom that enriched his blood."
2,Emotion,MoonPoemsFaceOfTheSpringMoonPoembyKobayashiIssa,"Face of the spring moon--
about twelve years old,
I'd say.
Translated by Robert Hass"
3,Emotion,MoonPoemsTheMoonIsAPainterPoembyVachelLindsay,"He coveted her portrait.
He toiled as she grew gay.
She loved to see him labor
In that devoted way.
And in the end it pleased her,
But bowed him more with care.
Her rose-smile showed so plainly,
Her soul-smile was not there.
That night he groped without a lamp
To find a cloak, a book,
And on the vexing portrait
By moonrise chanced to look.
The color-scheme was out of key,
The maiden rose-smile faint,
But through the blessed darkness
She gleamed, his friendly saint.
The comrade, white, immortal,
His bride, and more than bride—
The citizen, the sage of mind,
For whom he lived and died."
4,Emotion,MoonPoemsWhiteInTheMoonTheLongRoadLiesPoembyAlfredEdwardHousman,"White in the moon the long road lies,
The moon stands blank above;
White in the moon the long road lies
That leads me from my love.
Still hangs the hedge without a gust,
Still, still the shadows stay:
My feet upon the moonlit dust
Pursue the ceaseless way.
The world is round, so travellers tell,
And straight though reach the track,
Trudge on, trudge on, 'twill all be well,
The way will guide one back.
But ere the circle homeward hies
Far, far must it remove:
White in the moon the long road lies
That leads me from my love."
5,Emotion,MoonPoemsYouKnowThatPortraitInTheMoonPoembyEmilyDickinson,"504
You know that Portrait in the Moon—
So tell me who 'tis like—
The very Brow—the stooping eyes—
A fog for—Say—Whose Sake?
The very Pattern of the Cheek—
It varies—in the Chin—
But—Ishmael—since we met—'tis long—
And fashions—intervene—
When Moon's at full—'Tis Thou—I say—
My lips just hold the name—
When crescent—Thou art worn—I note—
But—there—the Golden Same—
And when—Some Night—Bold—slashing Clouds
Cut Thee away from Me—
That's easier—than the other film
That glazes Holiday—"
6,Emotion,MoonPoemsThePhasesOfTheMoonPoembyWilliamButlerYeats,"An old man cocked his car upon a bridge;
He and his friend, their faces to the South,
Had trod the uneven road.  Their hoots were soiled,
Their Connemara cloth worn out of shape;
They had kept a steady pace as though their beds,
Despite a dwindling and late-risen moon,
Were distant still.  An old man cocked his ear.
Aherne. What made that Sound?
Robartes. A rat or water-hen
Splashed, or an otter slid into the stream.
We are on the bridge; that shadow is the tower,
And the light proves that he is reading still.
He has found, after the manner of his kind,
Mere images; chosen this place to live in
Because, it may be, of the candle-light
From the far tower where Milton's Platonist
Sat late, or Shelley's visionary prince:
The lonely light that Samuel Palmer engraved,
An image of mysterious wisdom won by toil;
And now he seeks in book or manuscript
What he shall never find.
Ahernc. Why should not you
Who know it all ring at his door, and speak
Just truth enough to show that his whole life
Will scarcely find for him a broken crust
Of all those truths that are your daily bread;
And when you have spoken take the roads again?
Robartes. He wrote of me in that extravagant style
He had learnt from pater, and to round his tale
Said I was dead; and dead I choose to be.
Aherne. Sing me the changes of the moon once more;
True song, though speech:  'mine author sung it me.'
Robartes. Twenty-and-eight the phases of the moon,
The full and the moon's dark and all the crescents,
Twenty-and-eight, and yet but six-and-twenty
The cradles that a man must needs be rocked in:
For there's no human life at the full or the dark.
From the first crescent to the half, the dream
But summons to adventure and the man
Is always happy like a bird or a beast;
But while the moon is rounding towards the full
He follows whatever whim's most difficult
Among whims not impossible, and though scarred.
As with the cat-o'-nine-tails of the mind,
His body moulded from within his body
Grows comelier.  Eleven pass, and then
Athene takes Achilles by the hair,
Hector is in the dust, Nietzsche is born,
Because the hero's crescent is the twelfth.
And yet, twice born, twice buried, grow he must,
Before the full moon, helpless as a worm.
The thirteenth moon but sets the soul at war
In its own being, and when that war's begun
There is no muscle in the arm; and after,
Under the frenzy of the fourteenth moon,
The soul begins to tremble into stillness,
To die into the labyrinth of itself!
Aherne. Sing out the song; sing to the end, and sing
The strange reward of all that discipline.
Robartes. All thought becomes an image and the soul
Becomes a body:  that body and that soul
Too perfect at the full to lie in a cradle,
Too lonely for the traffic of the world:
Body and soul cast out and cast away
Beyond the visible world.
Aherne. All dreams of the soul
End in a beautiful man's or woman's body.
Robartes, Have you not always known it?
Aherne. The song will have it
That those that we have loved got their long fingers
From death, and wounds, or on Sinai's top,
Or from some bloody whip in their own hands.
They ran from cradle to cradle till at last
Their beauty dropped out of the loneliness
Of body and soul.
Robartes. The lover's heart knows that.
Aherne. It must be that the terror in their eyes
Is memory or foreknowledge of the hour
When all is fed with light and heaven is bare.
Robartes. When the moon's full those creatures of the full
Are met on the waste hills by countrymen
Who shudder and hurry by:  body and soul
Estranged amid the strangeness of themselves,
Caught up in contemplation, the mind's eye
Fixed upon images that once were thought;
For separate, perfect, and immovable
Images can break the solitude
Of lovely, satisfied, indifferent eyes.
And thereupon with aged, high-pitched voice
Aherne laughed, thinking of the man within,
His sleepless candle and lahorious pen.
Robartes. And after that the crumbling of the moon.
The soul remembering its loneliness
Shudders in many cradles; all is changed,
It would be the world's servant, and as it serves,
Choosing whatever task's most difficult
Among tasks not impossible, it takes
Upon the body and upon the soul
The coarseness of the drudge.
Aherne. Before the full
It sought itself and afterwards the world.
Robartes. Because you are forgotten, half out of life,
And never wrote a book, your thought is clear.
Reformer, merchant, statesman, learned man,
Dutiful husband, honest wife by turn,
Cradle upon cradle, and all in flight and all
Deformed because there is no deformity
But saves us from a dream.
Aherne. And what of those
That the last servile crescent has set free?
Robartes. Because all dark, like those that are all light,
They are cast beyond the verge, and in a cloud,
Crying to one another like the bats;
And having no desire they cannot tell
What's good or bad, or what it is to triumph
At the perfection of one's own obedience;
And yet they speak what's blown into the mind;
Deformed beyond deformity, unformed,
Insipid as the dough before it is baked,
They change their bodies at a word.
Aherne. And then?
Rohartes. When all the dough has been so kneaded up
That it can take what form cook Nature fancies,
The first thin crescent is wheeled round once more.
Aherne. But the escape; the song's not finished yet.
Robartes. Hunchback and Saint and Fool are the last crescents.
The burning bow that once could shoot an arrow
Out of the up and down, the wagon-wheel
Of beauty's cruelty and wisdom's chatter --
Out of that raving tide -- is drawn betwixt
Deformity of body and of mind.
Aherne. Were not our beds far off I'd ring the bell,
Stand under the rough roof-timbers of the hall
Beside the castle door, where all is stark
Austerity, a place set out for wisdom
That he will never find; I'd play a part;
He would never know me after all these years
But take me for some drunken countryman:
I'd stand and mutter there until he caught
'Hunchback and Sant and Fool,' and that they came
Under the three last crescents of the moon.
And then I'd stagger out.  He'd crack his wits
Day after day, yet never find the meaning.
And then he laughed to think that what seemed hard
Should be so simple -- a bat rose from the hazels
And circled round him with its squeaky cry,
The light in the tower window was put out."
7,Emotion,MoonPoemsAHymnToTheMoonPoembyLadyMaryWortleyMontagu,"Written in July, in an arbour
Thou silver deity of secret night,
Direct my footsteps through the woodland shade;
Thou conscious witness of unknown delight,
The Lover's guardian, and the Muse's aid!
By thy pale beams I solitary rove,
To thee my tender grief confide;
Serenely sweet you gild the silent grove,
My friend, my goddess, and my guide.
E'en thee, fair queen, from thy amazing height,
The charms of young Endymion drew;
Veil'd with the mantle of concealing night;
With all thy greatness and thy coldness too."
8,Emotion,MoonPoemsTheMoonHowDefiniteItsOrbFragmentPoembySamuelTaylorColeridge,"The Moon, how definite its orb!
Yet gaze again, and with a steady gaze--
'Tis there indeed,--but where is it not?--
It is suffused o'er all the sapphire Heaven,
Trees, herbage, snake-like stream, unwrinkled Lake,
Whose very murmur does of it partake
And low and close the broad smooth mountain
Is more a thing of Heaven than when
Distinct by one dim shade and yet undivided from the universal cloud
In which it towers, finite in height."
9,Emotion,MoonPoemsMrsMoonPoembyRogerMcGough,"Mrs Moon
sitting up in the sky
little old lady
rock-a-bye
with a ball of fading light
and silvery needles
knitting the night"
