,topic,file,text
0,Emotion,IdentityPoemsIdentityASonnetPoembyGerardAddingtonDArcyIrvine,"Identity: A Sonnet
That I am I, I surely know full well ;
I know my littleness and little place,
And how I feebly run my life's great race ;
Yet if an angel came with power to tell
Me how to be another I, and dwell
In his environment and ampler space,
Myself, annihilate; I'd set my face,
And be myself, though prisoned in a cell.
God made me, me, in changeless entity,
And could I be another, where were I ?
'Tis not that others are not nobler far ;
My light a spark, the while they sun-like shine
But living here or in some distant star,
Their lives are theirs, and mine for ever mine."
1,Emotion,IdentityPoemsAnIdentityPoembySomeGirl,"I had one once -
an identity
having one meant
the world to me -
an identity
before it was
taken from me
i knew who i
was and who
i'd become
without it I
was no one -
lost identity
i no longer
understood
understood the
meaning of life
i need it back -
my identity
88"
2,Emotion,IdentityPoemsIdentityPoembyauthorunknown,"I wonder if the trees can hear me
When I scream aloud,
Or if the dandelion screams,
When I pick him out.
There's no telling where life can take us;
One day I'm a blade of grass,
But today I am myself-
Nobody else.
Life chooses  for me to be me."
3,Emotion,IdentityPoemsHaikuIdentityPoembyDEEPAKKUMARPATTANAYAK,"Haiku-Identity
============
A bubble on the sea
To the sea asking what is
My identity."
4,Emotion,IdentityPoemsMistakenIdentityPoembyDavidHarris,"There are many times I have been mistaken
for something I am not.
People mistake me as an ordained priest,
but in fact, I am not.
You could call me an actor
who just happens to live the part.
Admittingly I do most things
a real priest would in their lives do,
give comfort to the sick and dying
and other things do.
However please do not be mistaken
that is not acting, its just part of my personality,
something I have always done
even before I got the part.
Those who needed my words of comfort
always seemed to find me,
and I would never turn them away.
Don’t ask me why I am this way;
there is no answer I can give you.
I hate to see suffering
whether it be in friend or foe.
I made a promise to myself
a long, long time ago
that if I could make someone smile
each and every day,
then I would be smiling too.
There have been a very few times occasions
when that promise has been broken,
because sometimes I could not do it.
They were mainly when
great sadness caught up with me,
but most of the time you will find me
with a smile on my face
and mischievous twinkle in my eye.
That is because at heart
I am something of a clown
and a practical joker.
One thing I am not
and something I will never be
is what many people call me,
and that is an angel
as there are too many faults
that lie behind me.
14 August 2008"
5,Emotion,IdentityPoemsIdentityPoembyabhimanyukumars,"This is to the motherland,
Where I am born.
This is to the teacher,
Who taught me nothing.
This is to my lover,
Who turned away from me.
Many are there to address,
Very few to notice.
What have you taught me?
Why the hell you came in?
Why did I even open my eyes mother!
Hybridity, Modernization, Temporary.
Yes, You all have lost me,
Lost your identity in my life.
Dedicated to the ones who have lost their identity.
Thala Abhimanyu Kumar
Dated: 25/08/2019"
6,Emotion,IdentityPoemsAMomentaryMoleculeOfMuteIdentityPoembyAnantaMadhavan,"Two birds on the wing early morning,
Flying northward for a drink or a splash
Or simply to escape their quest for comfort;
Or no quest at all, but just a place to rest,
A refuge from always waiting for refuge.
I think that every life is a question
For which there is no single answer.
What if we think of every life
As an answer to an unspoken question?
It is a question of the unique singularity
Of what relates to that particular life.
I find felicity in momentary images.
In fine arts and music there may be
Some residues of birds soaring and gliding
On air currents that kindle sunlight at dawn.
A light green streak of wings across my view:
A little bird has flown away at dawn.
We cannot put metronomes to the waves of the sea.
Such art works happen in evanescence.
Enough to have become self-aware
As a momentary molecule of mute identity."
7,Emotion,IdentityPoemsMistakenIdentityPoembyDavidLewisPaget,"The mother lay in a stupor filled
With alcohol and drugs,
The twins lay wet in the carry-cot
And screamed at the top of their lungs,
The boyfriend of the moment sat
At a bar in a nearby town,
Drinking away the welfare cheque
And taking them further down.
Sally Pearce was a homely girl
As such, and easily led,
Many a teenage male had found
His way to her maiden bed,
They bought her favours with alcohol
And hooked her on cocaine,
They so befuddled her mind that she
Could not remember her name.
So Jack had her in the morning when
The sun was low in the sky,
While Derek had her lunch when she
Had snorted coke, and was high,
She carried the seeds of both of them
And both of them found a home,
Embedded deep in her ovaries
As she lay drugged out, alone.
So when she heard she was having twins
She didn't know who to blame,
But thought it must be the first of them
So gave the twins Jack's name,
She didn't know that their fathers were
As different as chalk and cheese,
For Jack passed on a criminal gene
While Derek passed S.T.D's.
The first one born was Timothy,
With a mop of jet black hair,
Then twenty minutes to follow on
Came Adam, so pale and fair,
They could have been Cain and Abel
If she'd only studied the book,
For Adam was such a happy child
While Tim had an evil look.
She hardly saw them growing up
They learned to fend for themselves,
They'd go and ransack the kitchen
Pulling the food right off the shelves,
The boyfriends came and the boyfriends went
In a long, continuous line,
They didn't know what a father was
Nor a mother, most of the time.
The only love that they ever knew
Was their love for the brother twin,
For they were the only constants as
The others came out and in,
While Adam took to his books and proved
A whiz at Math in his school,
Timothy fought a constant war
To tell the truth, he was cruel.
He punched the boys and tortured the girls
And dipped their plaits in the ink,
Protected Adam from bullies and fools
But never had cause to think,
Adam went on to Uni while
Timothy took to the street,
Dealing in drugs, and taking home
Enough for his mother to eat.
Adam had met a girl called Gaye
She liked that his eyes were brown,
He gave her his sophomore ring one day
Escorted her round the town,
She wanted to meet his brother, Tim
But Adam would not be drawn,
He said that his brother had gone away
‘Til he called one day, to the dorm.
Timothy's eyes had met with Gaye's
And they felt a shock of delight,
For opposites often attract, they say,
As day will follow on night,
For Gaye was ripe with an innocence
That will fall for an evil spell,
So Timothy started meeting her
In the quad, by the old stairwell.
They found her body at Easter-time
Down an old storm-water drain,
Raped and beaten, her throat was cut,
And they said, ‘He must be insane! '
Adam was taken down to the cells
And grilled for almost a day,
‘You were the girl's last boyfriend,
We'll be taking your D.N.A.'
The D.N.A. was almost a match
Enough for a guilty plea,
While Adam strongly denied the charge,
‘It certainly wasn't me! '
He didn't mention his brother's name,
But hoped he would see the day
When Timothy came to visit him,
But Timothy went away.
They came for him in the dawning light
And marched him into the shed,
His lips were trembling as he stood
And bit his lip ‘til it bled,
‘Any last words you'd like to say
Before you pay for your sin? '
The rope had tightened around his neck
When he almost whispered, ‘…'
22 November 2012"
8,Emotion,IdentityPoemsWhatIsIdentityPoembyMandyLee,"Identity is not a given;
it is a song; it is a quest.
It is a journey and its trials,
not just the outcome of a test.
It is the continual burning of a flame,
not the marks that a burning  flame leaves.
It is but the choices that you wrought,
not just the tapestry destiny weaves."
9,Emotion,IdentityPoemsIdentityIsATrapPoembyRmShanmugamChettiar,"Identity gives a meaning to life,
A sense of belonging in a society,
And helps one define oneself in oneself.
To lean this way is to go away from that.
Identity is a stake you cling to.
Identity is a mould you fix to.
Anything we think we are, becomes a trap,
A restriction to be something else.
You join a movement to share its force.
In the meanwhile, you lend it your force.
Subsequently you lose your independence
In judging and mortgage yourself to it.
Be in a set up not to be fanatic.
Being neither distantly isolated
Nor absolutely  identified
With anything is freedom to enjoy.
20.09.2014"
