,form,file,text,Number of Words,clean_text
29,syllabic-verse,SyllabicversePoemsRezaSyllabicVerseHumansDoNotUseRationalityPoembyMuzahidulReza,"Humans are like other animals, but
They have a great distinction, absent
In any creature in the earth
Rationality is that,
Sad is they do not use,
Which causes chaos.
About:
Reza syllabic Verse (Edited, Revised And Additional Version) :
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
6 lines poem ─
Syllables meter: 10 in the 1st line,9 in the 2nd,8 in the 3rd,7 in the 4th,
6 in the 5th and 5 in the 6th line (10-9-8-7-6-5) ,
Syllables may be stressed or unstressed.
Rhyme scheme: iambic; ababcc; ababcd; abbacc; aabbcc
The aabbcc will be Heroic Reza syllabic Verse.
A simple refrain of 5th line may be as 6th line; if no refrain,
the 6th line will be an individual one.
Copyright © Muzahidul Reza │15 May,2018",165,"Humans are like other animals, but They have a great distinction, absent In any creature in the earth Rationality is that, Sad is they do not use, Which causes chaos. About: Reza syllabic Verse (Edited, Revised And Additional Version) : - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 6 lines poem ─ Syllables meter: 10 in the 1st line,9 in the 2nd,8 in the 3rd,7 in the 4th, 6 in the 5th and 5 in the 6th line (10-9-8-7-6-5) , Syllables may be stressed or unstressed. Rhyme scheme: iambic; ababcc; ababcd; abbacc; aabbcc The aabbcc will be Heroic Reza syllabic Verse. A simple refrain of 5th line may be as 6th line; if no refrain, the 6th line will be an individual one. Copyright © Muzahidul Reza │15 May,2018"
30,syllabic-verse,SyllabicversePoemsRezaSyllabicVerseCreaturesAreOnceInTheEarthPoembyMuzahidulReza,"Once leaving earth that one cannot come back
The earth is once for the creatures
And no creature can it hack,
What are your some features?
Coming and going, more?
Only the wise score.",34,"Once leaving earth that one cannot come back The earth is once for the creatures And no creature can it hack, What are your some features? Coming and going, more? Only the wise score."
31,syllabic-verse,SyllabicversePoemsRezaSyllabicVerseFalsehoodIsRulingNowPoembyMuzahidulReza,"The earth is now infested with falsehood
That does pervade from its sky to ground,
Be aware of! O, truth holders
Otherwise, you it will fire
To bring your soul to hell
Where you will lose all.
About:
Reza Syllabic Verse (Edited, Revised And Additional Version) :
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
6 lines poem ─
Syllables meter: 10 in the 1st line,9 in the 2nd,8 in the 3rd,7 in the 4th,
6 in the 5th and 5 in the 6th line (10-9-8-7-6-5) ,
Syllables may be stressed or unstressed.
Rhyme scheme: ababcc; ababcd; abbacc; aabbcc
The aabbcc will be Heroic Reza syllabic Verse.
A simple refrain of 5th line may be as 6th line; if no refrain,
the 6th line will be an individual one.
Copyright © Muzahidul Reza │ 27 August, 2018",180,"The earth is now infested with falsehood That does pervade from its sky to ground, Be aware of! O, truth holders Otherwise, you it will fire To bring your soul to hell Where you will lose all. About: Reza Syllabic Verse (Edited, Revised And Additional Version) : - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 6 lines poem ─ Syllables meter: 10 in the 1st line,9 in the 2nd,8 in the 3rd,7 in the 4th, 6 in the 5th and 5 in the 6th line (10-9-8-7-6-5) , Syllables may be stressed or unstressed. Rhyme scheme: ababcc; ababcd; abbacc; aabbcc The aabbcc will be Heroic Reza syllabic Verse. A simple refrain of 5th line may be as 6th line; if no refrain, the 6th line will be an individual one. Copyright © Muzahidul Reza │ 27 August, 2018"
32,syllabic-verse,SyllabicversePoemsRezaSyllabicVerseDeathTheFinalIllnessPoembyMuzahidulReza,"At last final illness appears is death
No any madicine to heal it,
Now, beings, you must meet the death;
When two things shall happen, that
One is body will die
Two is soul will fly.",36,"At last final illness appears is death No any madicine to heal it, Now, beings, you must meet the death; When two things shall happen, that One is body will die Two is soul will fly."
33,syllabic-verse,SyllabicversePoemsRezaSyllabicVerseOmniDestroyerPoembyMuzahidulReza,"Serious time for mankind is passing
When they themselves for their self causes:
Craziness, foolishness, numbness
Self, other are destroying;
Verily this mankind
Is terror to world.
About:
Reza syllabic Verse (Edited, Revised And Additional Version) :
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
6 lines poem ─
Syllables meter: 10 in the 1st line,9 in the 2nd,8 in the 3rd,7 in the 4th,
6 in the 5th and 5 in the 6th line (10-9-8-7-6-5) ,
Syllables may be stressed or unstressed.
Rhyme scheme: iambic; ababcc; ababcd; abbacc; aabbcc
The aabbcc will be Heroic Reza syllabic Verse.
A simple refrain of 5th line may be as 6th line; if no refrain,
the 6th line will be an individual one.
Copyright © Muzahidul Reza │12 April,2018",162,"Serious time for mankind is passing When they themselves for their self causes: Craziness, foolishness, numbness Self, other are destroying; Verily this mankind Is terror to world. About: Reza syllabic Verse (Edited, Revised And Additional Version) : - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 6 lines poem ─ Syllables meter: 10 in the 1st line,9 in the 2nd,8 in the 3rd,7 in the 4th, 6 in the 5th and 5 in the 6th line (10-9-8-7-6-5) , Syllables may be stressed or unstressed. Rhyme scheme: iambic; ababcc; ababcd; abbacc; aabbcc The aabbcc will be Heroic Reza syllabic Verse. A simple refrain of 5th line may be as 6th line; if no refrain, the 6th line will be an individual one. Copyright © Muzahidul Reza │12 April,2018"
34,syllabic-verse,SyllabicversePoemsRezaSyllabicVerseDangerInEveryStepPoembyMuzahidulReza,"Year round the shore living inhabitants
Spend times being dreadfully frightened
Of ferocious sharks, unseen giants,
Fiercely roaring hungry tide,
Nevertheless, callous sea
Demands their lives' fee.
About:
Reza syllabic Verse (Edited, Revised And Additional Version) :
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
6 lines poem ─
Syllables meter: 10 in the 1st line,9 in the 2nd,8 in the 3rd,7 in the 4th,
6 in the 5th and 5 in the 6th line (10-9-8-7-6-5) ,
Syllables may be stressed or unstressed.
Rhyme scheme: iambic; ababcc; ababcd; abbacc; aabbcc
The aabbcc will be Heroic Reza syllabic Verse.
A simple refrain of 5th line may be as 6th line; if no refrain,
the 6th line will be an individual one.
Copyright © Muzahidul Reza │10 April,2018",162,"Year round the shore living inhabitants Spend times being dreadfully frightened Of ferocious sharks, unseen giants, Fiercely roaring hungry tide, Nevertheless, callous sea Demands their lives' fee. About: Reza syllabic Verse (Edited, Revised And Additional Version) : - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 6 lines poem ─ Syllables meter: 10 in the 1st line,9 in the 2nd,8 in the 3rd,7 in the 4th, 6 in the 5th and 5 in the 6th line (10-9-8-7-6-5) , Syllables may be stressed or unstressed. Rhyme scheme: iambic; ababcc; ababcd; abbacc; aabbcc The aabbcc will be Heroic Reza syllabic Verse. A simple refrain of 5th line may be as 6th line; if no refrain, the 6th line will be an individual one. Copyright © Muzahidul Reza │10 April,2018"
35,syllabic-verse,SyllabicversePoemsRezaSyllabicVerseLifeJourneyPoembyMuzahidulReza,"One step, then two steps; babies learn walking
One mile, then two miles; young start going
Thousands of miles journey doing
Manhood and old age passing;
Exhausted body gets
Stop at last stoppage.
About:
Reza syllabic Verse (Edited, Revised And Additional Version) :
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
6 lines poem ─
Syllables meter: 10 in the 1st line,9 in the 2nd,8 in the 3rd,7 in the 4th,
6 in the 5th and 5 in the 6th line (10-9-8-7-6-5) ,
Syllables may be stressed or unstressed.
Rhyme scheme: iambic; ababcc; ababcd; abbacc; aabbcc
The aabbcc will be Heroic Reza syllabic Verse.
A simple refrain of 5th line may be as 6th line; if no refrain,
the 6th line will be an individual one.
Copyright © Muzahidul Reza │15 April,2018",168,"One step, then two steps; babies learn walking One mile, then two miles; young start going Thousands of miles journey doing Manhood and old age passing; Exhausted body gets Stop at last stoppage. About: Reza syllabic Verse (Edited, Revised And Additional Version) : - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 6 lines poem ─ Syllables meter: 10 in the 1st line,9 in the 2nd,8 in the 3rd,7 in the 4th, 6 in the 5th and 5 in the 6th line (10-9-8-7-6-5) , Syllables may be stressed or unstressed. Rhyme scheme: iambic; ababcc; ababcd; abbacc; aabbcc The aabbcc will be Heroic Reza syllabic Verse. A simple refrain of 5th line may be as 6th line; if no refrain, the 6th line will be an individual one. Copyright © Muzahidul Reza │15 April,2018"
36,syllabic-verse,SyllabicversePoemsRezaSyllabicVerseTheWintryPicturePoembyMuzahidulReza,"The wintry fogs and mists are all around
Nothing else is seen in this dead ground,
In biting cold wind who shiver
Have gathered around the fire
And wearing some warm clothes
Are absorbed in mirth.",36,"The wintry fogs and mists are all around Nothing else is seen in this dead ground, In biting cold wind who shiver Have gathered around the fire And wearing some warm clothes Are absorbed in mirth."
37,syllabic-verse,SyllabicversePoemsRezaSyllabicVerseNotAllWhoCauseHereHellPoembyMuzahidulReza,"Reza Syllabic Verse - Not All Who Cause Here Hell
18 November, 2018
In a galaxy this solar system
Being a member contains the earth,
Some other planets and some moons
Where we all and they live good,
But some of us disturb
Just losing self worth.",47,"Reza Syllabic Verse - Not All Who Cause Here Hell 18 November, 2018 In a galaxy this solar system Being a member contains the earth, Some other planets and some moons Where we all and they live good, But some of us disturb Just losing self worth."
38,syllabic-verse,SyllabicversePoemsBeepBeepNatureWeepsBoohoo2ndSyllabicVersePoembyHarindharReddy,"(Hari-syllabic) (Edited Version)
Zoinks!
Slowly
And gently,
Blooms appeared - dressed in
Zillion hues, filling
The air with spellbinding
Aroma. On each bud, a
Dewdrop, the pearls jigged in the
Bebop. To the tunes of twigs and leaves
The blooms discoed, a salsa in the sun.
Nature bestows life to the beasts and humans too.
Gawk!
I chanced
To pluck a
Rose but, lo, a
Spike pricked me for an
Attempted murder case
As I tried to axe her life
Just to please my ducky cute. We
Reach flowers to claim their beauty, but
Their spirit dies and they mourn when we cut.
Nature brings freshness to all but man shocks it - boo
Yow!
Gardens
Are to sport
Their splendor in
a regal show but, lo,
we cut their limbs and sing
them a dirge - Violets, Blues, reds
and yellows, too have a soul in
the meadows. To view is their beauty,
to grow plants is our duty, hey mackerel.
Otherwise, nature warns man with Tsunamis, boohoo.
By Harindhar Reddy
Hari-Syllabic is an experiment using an existing syllabic form: Etheree, consists of 10 lines of 1,2,3,4,5,6,7,8,9,10 syllables respectively.
However, I added 11th line with 12 syllables giving it a unique shape and form in this poem of triple stanzas! Thanks, I hope you like it.)
(Inspired by Abdul Wahab and helped by Anupama Dafre, Thanks to both.)",229,"(Hari-syllabic) (Edited Version) Zoinks! Slowly And gently, Blooms appeared - dressed in Zillion hues, filling The air with spellbinding Aroma. On each bud, a Dewdrop, the pearls jigged in the Bebop. To the tunes of twigs and leaves The blooms discoed, a salsa in the sun. Nature bestows life to the beasts and humans too. Gawk! I chanced To pluck a Rose but, lo, a Spike pricked me for an Attempted murder case As I tried to axe her life Just to please my ducky cute. We Reach flowers to claim their beauty, but Their spirit dies and they mourn when we cut. Nature brings freshness to all but man shocks it - boo Yow! Gardens Are to sport Their splendor in a regal show but, lo, we cut their limbs and sing them a dirge - Violets, Blues, reds and yellows, too have a soul in the meadows. To view is their beauty, to grow plants is our duty, hey mackerel. Otherwise, nature warns man with Tsunamis, boohoo. By Harindhar Reddy Hari-Syllabic is an experiment using an existing syllabic form: Etheree, consists of 10 lines of 1,2,3,4,5,6,7,8,9,10 syllables respectively. However, I added 11th line with 12 syllables giving it a unique shape and form in this poem of triple stanzas! Thanks, I hope you like it.) (Inspired by Abdul Wahab and helped by Anupama Dafre, Thanks to both.)"
