,topic,file,text
0,Emotion,WinterPoemsToWinterPoembyEugeneONeill,"""Blow, blow, thou winter wind.""
Away from here,
And I shall greet thy passing breath
Without a tear.
I do not love thy snow and sleet
Or icy flows;
When I must jump or stamp to warm
My freezing toes.
For why should I be happy or
E'en be merry,
In weather only fitted for
Cook or Peary.
My eyes are red, my lips are blue
My ears frost bitt'n;
Thy numbing kiss doth e'en extend
Thro' my mitten.
I am cold, no matter how I warm
Or clothe me;
O Winter, greater bards have sung
I loathe thee!"
1,Emotion,WinterPoemsColdMoonsOfWinterPoembyPeteCrowther,"(The moons of December, January
and February were once known by our
forebears respectively as Long Night or
Cold Moon, Wolf or Storm Moon, and Snow Moon)
Cold moons of winter
The wolf and the storm
Ice crystals splinter
The long night is born
Grey shadows lope
Over the snow
Yet still there is hope
Though fires burn low."
2,Emotion,WinterPoemsBookOfTimurTheWinterAndTimurPoembyJohannWolfgangvonGoethe,"So the winter now closed round them
With resistless fury. Scattering
Over all his breath so icy,
He inflamed each wind that blithe
To assail them angrily.
Over them he gave dominion
To his frost-unsharpened tempests;
Down to Timur's council went he,
And with threat'ning voice address'd him:--
""Softly, slowly, wretched being!
Live, the tyrant of injustice;
But shall hearts be scorch'd much longer
By thy flames,--consume before them?
If amongst the evil spirits
Thou art one,--good! I'm another.
Thou a greybeard art--so I am;
Land and men we make to stiffen.
Thou art Mars! And I Saturnus,--
Both are evil-working planets,
When united, horror-fraught.
Thou dost kill the soul, thou freezes
E'en the atmosphere; still colder
Is my breath than thine was ever.
Thy wild armies vex the faithful
With a thousand varying torments;
Well! God grant that I discover
Even worse, before I perish!
And by God, I'll give thee none.
Let God hear what now I tell thee!
Yes, by God! from Death's cold clutches
Nought, O greybeard, shall protect thee,
Not the hearth's broad coalfire's ardour,
Not December's brightest flame."""
3,Emotion,WinterPoemsWinterPoembyRobertSouthey,"A wrinkled crabbed man they picture thee,
Old Winter, with a rugged beard as grey
As the long moss upon the apple-tree;
Blue-lipt, an icedrop at thy sharp blue nose,
Close muffled up, and on thy dreary way
Plodding alone through sleet and drifting snows.
They should have drawn thee by the high-heapt hearth,
Old Winter! seated in thy great armed chair,
Watching the children at their Christmas mirth;
Or circled by them as thy lips declare
Some merry jest, or tale of murder dire,
Or troubled spirit that disturbs the night,
Pausing at times to rouse the mouldering fire,
Or taste the old October brown and bright."
4,Emotion,WinterPoemsWinterPoembyWilliamMorris,"I am Winter, that do keep
Longing safe amidst of sleep:
Who shall say if I were dead
What should be remembered?"
5,Emotion,WinterPoemsWinterSolsticePoembyAnonymous,"When you startle awake in the dark morning
heart pounding breathing fast
sitting bolt upright staring into
dark whirlpool black hole
feeling its suction
Get out of bed
knock at the door of your nearest friend
ask to lie down ask to be held
Listen while whispered words
turn the hole into deep night sky
stars close together
winter moon rising over white fields
nearby wren rustling dry leaves
distant owl echoing
two people walking up the road laughing
Let your soul laugh
let your heart sigh out
that long held breath so hollow in your stomach
so swollen in your throat
Already light is returning pairs of wings
lift softly off your eyelids one by one
each feathered edge clearer between you
and the pearl veil of day
You have nothing to do but live"
6,Emotion,WinterPoemsAfterTheWinterPoembyClaudeMcKay,"Some day, when trees have shed their leaves
And against the morning's white
The shivering birds beneath the eaves
Have sheltered for the night,
We'll turn our faces southward, love,
Toward the summer isle
Where bamboos spire to shafted grove
And wide-mouthed orchids smile.
And we will seek the quiet hill
Where towers the cotton tree,
And leaps the laughing crystal rill,
And works the droning bee.
And we will build a cottage there
Beside an open glade,
With black-ribbed blue-bells blowing near,
And ferns that never fade."
7,Emotion,WinterPoemsTwiceAWeekTheWinterThoroughPoembyAlfredEdwardHousman,"Twice a week the winter thorough
Here stood I to keep the goal:
Football then was fighting sorrow
For the young man's soul.
Now in Maytime to the wicket
Out I march with bat and pad:
See the son of grief at cricket
Trying to be glad.
Try I will; no harm in trying:
Wonder 'tis how little mirth
Keeps the bones of man from lying
On the bed of earth."
8,Emotion,WinterPoemsWinterADirgePoembyRobertBurns,"The wintry west extends his blast,
And hail and rain does blaw;
Or the stormy north sends driving forth
The blinding sleet and snaw:
While, tumbling brown, the burn comes down,
And roars frae bank to brae;
And bird and beast in covert rest,
And pass the heartless day.
""The sweeping blast, the sky o'ercast,""
The joyless winter day
Let others fear, to me more dear
Than all the pride of May:
The tempest's howl, it soothes my soul,
My griefs it seems to join;
The leafless trees my fancy please,
Their fate resembles mine!
Thou Power Supreme, whose mighty scheme
These woes of mine fulfil,
Here firm I rest; they must be best,
Because they are Thy will!
Then all I want-O do Thou grant
This one request of mine!-
Since to enjoy Thou dost deny,
Assist me to resign."
9,Emotion,WinterPoemsAnOldMansWinterNightPoembyRobertFrost,"All out of doors looked darkly in at him
Through the thin frost, almost in separate stars,
That gathers on the pane in empty rooms.
What kept his eyes from giving back the gaze
Was the lamp tilted near them in his hand.
What kept him from remembering what it was
That brought him to that creaking room was age.
He stood with barrels round him -- at a loss.
And having scared the cellar under him
In clomping there, he scared it once again
In clomping off; -- and scared the outer night,
Which has its sounds, familiar, like the roar
Of trees and crack of branches, common things,
But nothing so like beating on a box.
A light he was to no one but himself
Where now he sat, concerned with he knew what,
A quiet light, and then not even that.
He consigned to the moon, such as she was,
So late-arising, to the broken moon
As better than the sun in any case
For such a charge, his snow upon the roof,
His icicles along the wall to keep;
And slept. The log that shifted with a jolt
Once in the stove, disturbed him and he shifted,
And eased his heavy breathing, but still slept.
One aged man -- one man -- can't keep a house,
A farm, a countryside, or if he can,
It's thus he does it of a winter night."
