,topic,file,text
0,Emotion,BeautyPoemsInfiniteBeautyPoembyErnestineNorthover,"Looking over the fields towards the Sun,
Observing that the rain had just begun,
A freshness seemed to permeate the air,
And all that one could do was, stand and stare,
As something magical crept across the skies,
A vision that was reflected in my eyes.
A sight of infinite beauty, there to see,
One of the wonders given to us, for free.
Lovely colours blending, like a dream,
In subtle hues, an arched rainbow supreme.
©   Ernestine Northover"
1,Emotion,BeautyPoemsBeautyImposesPoembyJohnShawNeilson,"Beauty imposes reverence in the Spring,
Grave as the urge within the honeybuds,
It wounds us as we sing.
Beauty is joy that stays not overlong.
Clad in the magic of sincerities,
It rides up in a song.
Beauty imposes chastenings on the heart,
Grave as the birds in last solemnities
Assembling to depart."
2,Emotion,BeautyPoemsItIsNotBeautyIDemandPoembyGeorgeDarley,"It is not Beauty I demand,
A crystal brow, the moon's despair,
Nor the snow's daughter, a white hand,
Nor mermaid's yellow pride of hair.
Tell me not of your starry eyes,
Your lips that seem on roses fed,
Your breasts where Cupid trembling lies,
Nor sleeps for kissing of his bed.
A bloomy pair of vermeil cheeks,
Like Hebe's in her ruddiest hours,
A breath that softer music speaks
Than summer winds a-wooing flowers.
These are but gauds; nay, what are lips?
Coral beneath the ocean-stream,
Whose brink when your adventurer sips
Full oft he perisheth on them.
And what are cheeks but ensigns oft
That wave hot youth to fields of blood?
Did Helen's breast though ne'er so soft,
Do Greece or Ilium any good?
Eyes can with baleful ardor burn,
Poison can breath that erst perfumed,
There's many a white hand holds an urn
With lovers' hearts to dust consumed.
For crystal brows--there's naught within,
They are but empty cells for pride;
He who the Syren's hair would win
Is mostly strangled in the tide.
Give me, instead of beauty's bust,
A tender heart, a loyal mind,
Which with temptation I could trust,
Yet never linked with error find.
One in whose gentle bosom I
Could pour my secret heart of woes.
Like the care-burdened honey-fly
That hides his murmurs in the rose.
My earthly comforter! whose love
So indefeasible might be,
That when my spirit won above
Hers could not stay for sympathy."
3,Emotion,BeautyPoemsTheBeautyWeIgnorePoembyvictoriamartinez,"I am the beauty
The beauty in the summer *the heat*
We ignore it
.
I am the beauty
The beauty in the winter *frozen cold*
We ignore it
.
I am the beauty
The beauty in the fall *dying life*
We ignore it
.
I am the beauty
The beauty in the spring *birth of nature*
We ignore it
.
I am earth
I bare all seasons
And you ignore me"
4,Emotion,BeautyPoemsSonnetLBeautySweetLovePoembySamuelDaniel,"Beauty, sweet love, is like the morning dew
Whose short refresh upon the tender green
Cheers for a time but till the Sun doth show,
And straight 'tis gone as it had never been.
Soon doth it fade that makes the fairest flourish;
Short is the glory of the blushing Rose,
The hue which thou so carefully dost nourish
Yet which at length thou must be forc'd to lose.
When thou surcharg'd with burden of thy years
Shalt bend thy wrinkles homeward to the earth,
When Time hath made a passport for thy fears,
Dated in age the Kalends of our death--
But, ah, no more: this hath been often told,
And women grieve to think they must be old."
5,Emotion,BeautyPoemsBeautyPoembyMathildeBlind,"Even as on some black background full of night
And hollow storm in cloudy disarray,
The forceful brush of some great master may
More brilliantly evoke a higher light;
So beautiful, so delicately white,
So like a very metaphor of May,
Your loveliness on my life's sombre grey
In its perfection stands out doubly bright.
And yet your beauty breeds a strange despair,
And pang of yearning in the helpless heart;
To shield you from time's fraying wear and tear,
That from yourself yourself would wrench apart,
How save you, fairest, but to set you where
Mortality kills death in deathless art?"
6,Emotion,BeautyPoemsYouthAndBeautyPoembyWilliamCarlosWilliams,"I bought a dishmop--
having no daughter--
for they had twisted
fine ribbons of shining copper
about white twine
and made a tousled head
of it, fastened it
upon a turned ash stick
slender at the neck
straight, tall--
when tied upright
on the brass wallbracket
to be a light for me
and naked
as a girl should seem
to her father."
7,Emotion,BeautyPoemsSeekingBeautyPoembyWilliamHenryDavies,"Cold winds can never freeze, nor thunder sour
The cup of cheer that Beauty draws for me
Out of those Azure heavens and this green earth --
I drink and drink, and thirst the more I see.
To see the dewdrops thrill the blades of grass,
Makes my whole body shake; for here's my choice
Of either sun or shade, and both are green --
A Chaffinch laughs in his melodious voice.
The banks are stormed by Speedwell, that blue flower
So like a little heaven with one star out;
I see an amber lake of buttercups,
And Hawthorn foams the hedges round about.
The old Oak tree looks now so green and young,
That even swallows perch awhile and sing:
This is that time of year, so sweet and warm,
When bats wait not for stars ere they take wing.
As long as I love Beauty I am young,
Am young or old as I love more or less;
When Beauty is not heeded or seems stale,
My life's a cheat, let Death end my distress."
8,Emotion,BeautyPoemsBeautyOfLifePoembyUriahHamilton,"I don’t desire to wear a sad face too long
When I know I live in a world of flowers and birds
And that the evening will usher in a sky of scattered stars,
When I know hopeful prayers and songs
Can find you wherever you are.
I’m going to peruse the Psalms and the Dhammapada,
Find encouraging light in the Bhagavad-Gita
Until my breath is one with gratitude
And forever connected to the beauty of life."
9,Emotion,BeautyPoemsTheLivingBeautyPoembyWilliamButlerYeats,"I BADE, because the wick and oil are spent
And frozen are the channels of the blood,
My discontented heart to draw content
From beauty that is cast out of a mould
In bronze, or that in dazzling marble appears,
Appears, but when wc have gone is gone again,
Being more indifferent to our solitude
Than 'twere an apparition.  O heart, we are old;
The living beauty is for younger men:
We cannot pay its rribute of wild tears."
