,topic,file,text
0,Emotion,GraduationPoemsLisasGraduationDayPoembyJonathanGoldmanakaJGthepoet,"Lisa, today you’ve made us proud,
Proud, as proud can be,
For today, at the Barbican,
You’ve collected your Honour’s Degree.
A Degree in Graphic Design,
You’ve worked so hard to attain,
And the Standards you’ve set yourself,
Through Life, you should always maintain.
Put the Craft that you’ve learnt to good use,
Remember, put your Clients’ needs to the fore,
And then you will succeed in Life,
Dear Daughter, whom we do adore.
With Pride, we watched you receive
This Honour’s Degree today,
Watched by Family and Friends,
On this 29th November 2005 Tuesday.
© Jonathan Goldman [JGthepoet] – 29 November 2005"
1,Emotion,GraduationPoems8thGradeGraduationPoembySummerSong,"A puzzle together
a puzzle apart
each piece belongs to my heart
each piece is differant
each piece is great
But now they have to take on the long expected fate
They knew it would come
the day was here
the day they dreaded at the beginning of the year
The day they would be pulled apart
the whole would be broken
they knew it from the start
A piece here
and a piece there
how could life be so unfair
The beautiful picture the puzzle protrayed
is now forgotten
the pieces have strayed
They went away
fell beneath the wooden table
the puzzle would never again be stable
But that puzzle is forever in my heart
the memories of each piece
will never fall apart
-For my eighth grade class on graduation-"
2,Emotion,GraduationPoemsMohamudAtTheMosqueForMyStudentUponHisGraduationPoembySusanRich,"And some time later in the lingering
blaze of summer, in the first days
after September 11th you phoned –
if I don’t tell anyone my name I’ll
pass for an African American.
And suddenly, this seemed a sensible solution –
the best protection: to be a black man
born in America, more invisible than
Somalian, Muslim, asylum seeker –
Others stayed away that first Friday
but your uncle insisted that you pray.
How fortunes change so swiftly
I hear you say. And as you parallel
park across from the Tukwila
mosque, a young woman cries out –
her fears unfurling beside your battered car
go back where you came from!
You stand, both of you, dazzling there
in the mid-day light, her pavement
facing off along your parking strip.
You tell me she is only trying
to protect her lawn, her trees,
her untended heart – already
alarmed by its directive.
And when the neighborhood
policeman appears, asks
you, asks her, asks the others –
So what seems to be the problem
He actually expects an answer,
as if any of us could name it –
as if perhaps your prayers
chanted as this cop stands guard
watching over your windshield
during the entire service
might hold back the world
we did not want to know."
3,Emotion,GraduationPoemsGraduationPoembyZubaidaBoland,"Graduation
Is it a a happy event
Or a sad one
Coz after what I've experienced today
It must be painful
Seeing my friends wave goodbye
Promising ourselves
Not to be separated by life
I hope this promise will never be broken
No matter where our dreams take us
No matter how many times life tries to separate us
We will always be great friends
Never strangers I hope
After the great times we've spent together
It was before that farewell moment
I felt so sad when I saw an empty class
I never thought this moment will ever come
I wanted a full one
Now when I think of graduation
The first thing that comes in my mind is
Who's gonna accept my selliness?
Who's gonna calm me down when I'm drowned in my hot tears?
Who's gonna tell me that everything's okay even though it's not
Dear  fellows,
Graduating is not all about school
But it is graduating from the life of teen age
Graduating from late childhood moments
To something more challenging
Something more fierce
But with the pictures we had in mind
Of those times
Of sharing a laugh
Will make it so much easier
The fact that we've been through a lot  and
These three years
Have made us stronger
It made us fighters
It shaped us into a HARD ROCK
so be proud of what we have done
Don't cry over spilt milk
After all, this life is a short journey
But we are doing our best to make it taste better
so now i can say
that graduation is a moment of a lifetime
in which we were transformed into ourselves."
4,Emotion,GraduationPoemsGraduationALittleLongerPoembyDaniMarieJohnson,"Mmm I wanna linger
Mmm A little longer
Mmm A little longer here with you
Mmm It's such a perfect night
Mmm It doesn't seem quite right
Mmm That this is my last night with you.
Mmm Come September
Mmm We'll all remember
Mmm Our Central days and friendships true
Mmm And as the years go by
Mmm We'll all recall and sigh
Mmm This is goodnight and not goodbye"
5,Emotion,GraduationPoemsGraduationDayPoembyKatieEvans,"The more I look back on all the happy times
the easier it is for me to realize
that friends are much more then hellos and goodbye
it all comes down to what you have inside.
Yes, some are good singers and some are athletic
but that doesnt matter (are you starting to get it?)
all that is important is the feeling inside
if your white or black or green or blue eyed.
For me to sit and say 'I wont miss this old place'
is wrong and untrue (cant you tell in my face?)
all the frinds and teachers meant so much to me
I dont know any place that i'd rather be.
'Those were the days', I'd here my parents say.
charish there years...each and everyday
The people you'll meet and the places you'll go
and the hurt once thats gone is more then you'll know.
All my friends will be leaving and i'll still be here
All my friends i'll be losing is my greatest fear
Promise you wont forget me as you go away,
promise you'll be back to see me someday!"
6,Emotion,GraduationPoemsGraduationPoembySRIRANJIARATISANKAR,"In the university of love,
Undergoing graduation course
is very difficult,
Sometimes syllabus detoured..."
7,Emotion,GraduationPoemsAGraduationDayMessagePoembyJosephTRenaldi,"May Graduation Day fill your heart
With feelings of accomplishments this day,
To bring you peace of mind and happiness
In every special way.
May the fond memories of school days
Glow warmly in your beloved heart
Where the cherished classmates
Will forever play a vital part.
May Graduation Day be extra special
With elaborate pomp and show,
May the procession of elated graduates
Create glee and parent faces to glow.
May the ceremony for conferring diplomas,
The cards and acknowledgements and flowers
Fill the day with pride and immense joy
And delightful and meaningful hours.
May those you love and respect surround you
To share your moments of glory this day,
May the accolades of Graduation Day
Come into your life to forever stay."
8,Emotion,GraduationPoemsGraduationPoembyleticiastarkey,"A puzzle together
a puzzle apart
each piece belongs to my heart
each piece is different
each piece is great
But now they have to take on the long expected fate
They knew it would come
the day was here
the day they dreaded at the beginning of the year
The day they would be pulled apart
the whole would be broken
they knew it from the start
A piece here
and a piece there
how could life be so unfair
When we use to laugh and do dares
We always use to think are teachers were unfair
But know we are older and have to grow up
We no longer have people taking us by the hand
And walking on such gentle land"
9,Emotion,GraduationPoemsCongratulateKellyOnYourGraduationFromDentalSchoolPoembyNHIENNGUYENMD,"Congratulate Kelly, on your graduation.
After four years of studies, you graduated from Dental school!
Now you have your license to practice
But you prefer more training in your sub-specialty.
You'll spend two more years in school
And you'll accumulate more astronomical debts!
This week, you made a trip to Philadelphia.
You visited new school with your mother and brother.
Next two years you will be a resident at Penn Dental school
To receive special training in orthodontics.
You'll pay expensive rent these years.
Fortunately, your classmate shares one half of the rent.
So now, you can put your mind to study hard.
Two years from now, you'll graduate from this ivy school to enter your practice.
Thank you for visiting me and your aunt.
As a small gift to you, this poem is our congratulations.
05233016
NHIEN NGUYEN MD
Above is translation poem of the Vietnamese Poem of NHIEN NGUYEN MD:
MỪNG KELLY TỐT NGHIỆP BÁC SĨ NHA KHOA
Mừng thay cháu đã ra trường
Bốn năm đèn sách, xong trường Nha khoa.
Bây giờ cháu đã có bằng
Nhưng mà cháu muốn thêm ngành chuyên khoa.
Thêm hai năm nữa học hành
Thêm tiền vay mượn, nợ càng chồng cao!
Tuần này, cháu ghé Phila
Thăm trường cùng mẹ và anh của mình.
Hai năm sẽ học trường Penn
Chuyên môn cháu sẽ chuyên nghề niền răng.
Phòng thuê cháu ở hai năm
May mà có bạn chia hai tiền phòng.
Thôi thì cháu cố 'luyện công'
Chỉ hai năm nữa chờ thời 'hạ san'.
Cám ơn cháu đến thăm nhà
Chút quà mừng cháu, thơ này chung vui.
05232016
NHIEN NGUYEN MD"
10,Emotion,GraduationPoemsGraduationIsPoshPoembyEleanorLynar,"Go, Erik Go. You are walking in the spotlight of stars tonight, at County
College of Morris Twenty-eighth Commencement Celebration rite. How exhilarating your mother feels? Words fail to justify this night. But, my heart
overflows with pride, joy and radiant bliss, that I want to jump up and do the ""Twist."" Son, instead, I give you a bear hug and cheek kiss, which is better than a slipped disk.
Sniff, Sniff, mother weeps. I just remembered your baby years. It was so
hard loving you then. I worked dog tired; had little rest, while I tried to
do my very best. Everyday as I cradled you against my chest and watched you
suckle lying at rest, bonded superfluous strength to survive the Single
Parent Test and the stamina to do the rest.
Woo, Woo, Woo, mother shouts as Erik ascends the stage steps for his degree.
He smiles with glee and gives two ""Thumbs"" up to me. When he returns seated, I
congratulate him saying, ""My son, let 'God's Beacon' signal your pathway,
when an unexpected life wobble leave your mind in a boggle. Stay plugged into
life using positive discipline, diplomacy and tact. These are strategies that work, when golden opportunity explodes like sparkling fireworks.
Go, Go, Go, mother yells from her gut, as the ceremony ends; the happy class
leave walking, in a last unity strut. Erik's cap is pitched high into the sky,
outside. He is next to hop aboard the ""Opportunity Roller Coaster Ride."""
11,Emotion,GraduationPoemsGraduationPoembyCarolynBrunelle,"Sudden changes in the weather
Has you trying to hold it together.
Is it outdoors or indoors?
No one knows anymore.
Will there be lightning and thunder?
Will graduation happen at all, you wonder.
But keep on practicing
Hold on to that dream
Take a deep breath;
Try not to scream.
It’s always going to be something
That is outside the norm,
Because LIFE is all about
How you deal with the storms.
© Carolyn Brunelle"
12,Emotion,GraduationPoemsEternalGraduationPoembyVincentFeliciano,"Like children in fear
Of their innocence lost
We all dreamed our dreams
At unlimited cost
But the reality of our hopes
Always seemed to be in vain
Because the hands of desparation
Left no ground for us to gain
Never seeing a way out
Would only feed our frustration
Like a hungry naked man
In the face of humiliation
And to the height of any challenge
We refused to climb at all
Because our hearts were far removed
By the fear that we might fall
But today we are free
To be the souls of all our dreams
As the fabric of our desires
Are held firmly at the seams
For with patient endurance
We reached a brand new plateau
Where our dignity and pride
Could have a real chance to grow
So let our yesterday's fears
Be a long forgotten past
As we face up to the challenge
Of life's new unending tasks
Like the stretching hands of time
We may never reach an end
But at least now we have the means
To fight back...to defend
For there may come a time
When our names are less than words
Our thoughts are never known
And our speech never heard
But in the time we have been given
Let us not forget this day
Because the price it cost
To get this far
Was a price only you could pay."
13,Emotion,GraduationPoemsGraduationDayPoembyRuthKuttler,"Today's the day we honor you, send love and blessings too.
Our prayers for you to know true joy through what you say and do.
Rejoice in your accomplishments for you have come so far,
A milestone and a victory that's brought you where you are.
And as you hold your head up high, embrace that scroll in hand,
Just hold that vision of the joy and honor where you stand.
For this exhilaration is the power that you'll find,
Propels and fuels the dreams you dream, the passions in your mind.
Those dreams can take you anywhere; believe that you can be
And settle not for getting by or mediocrity.
Enjoy and celebrate your day; remember as you go,
Your past and all your memories, the happiness you know.
Hold this treasure in your heart and walk with pride today.
Your road ahead has just begun; you'll soon be on your way.
A road that's filled with obstacles and opportunity;
Your choice to see what you will see, to be what you will be.
One door will close with scroll in hand, your gateway to begin;
With seeds to be a shining star whose time has come to win."
14,Emotion,GraduationPoemsGraduationPoembyJamesMcLain,"Look upon a finished life.
There's nothing left recalled.
One Life it's graduation.
Black gown and cap to large."
15,Emotion,GraduationPoemsOnYourGraduationDayPoembyMELVINBANGGOLLAY,"ON YOUR GRADUATION DAY
(To my child, Melly Rose)
Melvin Banggollay
The hurdle my child is not yet over
I said when we went to the stage together
On this special day you finished another
ladder of life as graduates like the others.
But as soon as we were on the stage
I felt how my loving father rejoiced
On this day I heared many adage
of distinguished student's   turmoils.
When I heared one of the graduates
Narrating the unselfish sacrifices
Of his father who died before he graduates
Teardrops fell like unbroken necklaces
As I behold how my own father radiates
a love so full with care full of traces.
When you gave me your diploma
As token of your great  sacrifices
My eyes was filled with sweet aroma
of  thousand flowers tenderness
as my eyes build a million aurora
For you didn't turned down my sacrifices
but nurtured them for your own success.
Congratulation dear beautiful child of mine
for doing what is best that can help you define
The future that lies ahead untill you can fine
destiny of your fate that your faith entwine.
Stand strong and never  surrender
As trials come in your way while you harbor
to define your own life amidst great strife
But have faith  and you can have a better life
and all things can happen with God's power
If faith unto Him your load and charger.
Writen on my child's gradution as nursing student this march 25,2009 at MCNP, Tugegarao, Cagayan."
16,Emotion,GraduationPoemsLindsaysGraduationPoembyMarilynLott,"We were so proud of Lindsay
On her graduation day
She turned a fresh new corner
So much she had to say
For she had passed a milestone
What special memories
So beautiful and so talented
With wonderful qualities
Whatever she chose to do
We knew she’d do it well
Her family looked happily on
Full of pride, we could tell
Of course there are always
Bumps rising in the trail
But with Lindsay’s determination
How could she possibly fail?
It’s so wonderful to watch
Young people at their peak
So willing and so ready
For it’s knowledge that they seek
So we look at Lindsay’s pictures
We knew that she’d go far
Whatever direction she took
She’d be our special star!"
17,Emotion,GraduationPoemsGraduationPoembyHollySomer,"12 years of school and now it's close to ending
I'm going to miss all my friends
Who'm are still attending
The dances were fun and the privilages were sweet
I'll never forget those who I did meet
so long to all my teachers
who'm gave me great advice
go for all the gold"
